session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,0,6,8,2,0,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abaomege,South East,Ebonyi,Abakaliki,Abaomege,,0,6,7,2,0,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Amata-Akpoha,South East,Ebonyi,Afikpo North,Amata-Akpoha,,0,8,11,2,0,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ezeke Amasiri,South East,Ebonyi,Afikpo North,Ezeke Amasiri,,0,23,30,5,4,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Amaeke Ekoli,South East,Ebonyi,Afikpo South,Amaeke Ekoli,,0,10,14,2,0,0,0,0,9,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Amangwu,South East,Ebonyi,Afikpo South,Amangwu,,0,12,15,2,0,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Inyere,South East,Ebonyi,Ezza North,Inyere,,0,20,24,5,4,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Amaechi okposi,South East,Ebonyi,Ohaozara,Amaechi okposi,,0,9,11,2,0,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Mgbom Okposi,South East,Ebonyi,Ohaozara,Mgbom Okposi,,0,10,14,2,0,0,0,0,9,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,0,9,14,9,5,4,0,0,5,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Abofia,South East,Ebonyi,Abakaliki,Abofia,,0,22,34,17,16,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Amata-Akpoha,South East,Ebonyi,Afikpo North,Amata-Akpoha,,0,20,26,17,12,4,0,0,9,3
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Amogu Akpoha,South East,Ebonyi,Afikpo North,Amogu Akpoha,,0,20,26,10,9,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ezeke Amasiri,South East,Ebonyi,Afikpo North,Ezeke Amasiri,,0,23,31,14,12,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Amaigbo,South East,Ebonyi,Afikpo South,Amaigbo,,0,6,7,2,0,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Amangwu,South East,Ebonyi,Afikpo South,Amangwu,,0,6,8,2,0,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Amuda / Amawula,South East,Ebonyi,Ezza North,Amuda / Amawula,,0,21,26,12,11,0,0,0,12,1
