session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ndeabo,South East,Enugu,Aninri,Ndeabo,,0,21,27,6,5,0,0,0,23,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Oduma I,South East,Enugu,Aninri,Oduma I,,0,11,14,4,2,0,0,0,12,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Mgbowo,South East,Enugu,Awgu,Mgbowo,,0,11,14,4,2,0,0,0,12,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Maryland,South East,Enugu,Enugu South,Maryland,,0,17,24,4,2,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ugwuaji,South East,Enugu,Enugu South,Ugwuaji,,0,17,24,4,2,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Oghe I,South East,Enugu,Ezeagu,Oghe I,,0,15,20,4,2,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Umuozzi Iv,South East,Enugu,Igbo-Eze North,Umuozzi Iv,,0,17,23,4,2,0,0,0,21,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Alor Agu,South East,Enugu,Igbo-Eze South,Alor Agu,,0,17,24,6,5,0,0,0,20,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Iheakpu (Ezzi Ngwu Ward),South East,Enugu,Igbo-Eze South,Iheakpu (Ezzi Ngwu Ward),,0,17,23,4,2,0,0,0,21,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Nomeh,South East,Enugu,Nkanu East,Nomeh,,0,14,20,4,2,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Agbani,South East,Enugu,Nkanu West,Agbani,,0,23,27,4,2,0,0,0,25,1
