session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,0,17,23,1,0,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dikko,North West,Kebbi,Argungu,Dikko,,0,23,30,1,0,0,0,0,36,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Felande,North West,Kebbi,Argungu,Felande,,0,6,7,0,0,0,0,0,9,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ambursa,North West,Kebbi,Birnin Kebbi,Ambursa,,0,6,9,0,0,0,0,0,11,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Birnin Kebbi Dangaladima,North West,Kebbi,Birnin Kebbi,Birnin Kebbi Dangaladima,,0,18,25,1,0,0,0,0,30,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Birnin Kebbi Mafara,North West,Kebbi,Birnin Kebbi,Birnin Kebbi Mafara,,0,14,19,1,0,0,0,0,23,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Badariya/Magarza,North West,Kebbi,Kalgo,Badariya/Magarza,,0,13,18,1,0,0,0,0,21,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dangoma/Gayi,North West,Kebbi,Kalgo,Dangoma/Gayi,,0,12,16,1,0,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Diggi,North West,Kebbi,Kalgo,Diggi,,0,23,32,1,0,0,0,0,38,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Chulu/Koma,North West,Kebbi,Yauri,Chulu/Koma,,0,8,12,1,0,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Jijima,North West,Kebbi,Yauri,Jijima,,0,15,21,1,0,0,0,0,25,1
