session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Agyaga,North Central,Nasarawa,Akwanga,Agyaga,,0,6,10,22,19,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akwanga East,North Central,Nasarawa,Akwanga,Akwanga East,,0,10,15,37,34,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akwanga West,North Central,Nasarawa,Akwanga,Akwanga West,,0,10,15,31,28,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Agbashi,North Central,Nasarawa,Doma,Agbashi,,0,6,7,16,6,4,0,0,0,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akpanaja,North Central,Nasarawa,Doma,Akpanaja,,0,8,12,31,25,4,0,0,0,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Alagye,North Central,Nasarawa,Doma,Alagye,,0,17,22,44,41,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Angwan Iya II,North Central,Nasarawa,Keffi,Angwan Iya II,,0,15,19,37,34,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Adogi,North Central,Nasarawa,Lafia,Adogi,,0,4,7,6,3,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Agyaragun Tofa,North Central,Nasarawa,Lafia,Agyaragun Tofa,,0,10,15,31,28,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akurba/Bakin Rijiya,North Central,Nasarawa,Lafia,Akurba/Bakin Rijiya,,0,12,17,37,34,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akum,North Central,Nasarawa,Nasarawa,Akum,,0,6,10,16,13,0,0,0,0,1
