session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ward I N2,South West,Oyo,Ibadan North,Ward I N2,,0,15,20,4,4,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,"Ward II, N3",South West,Oyo,Ibadan North,"Ward II, N3",,0,76,104,28,27,0,0,0,121,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,0,48,62,18,16,3,0,0,70,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ward 08 SW7,South West,Oyo,Ibadan South,Ward 08 SW7,,0,70,96,32,32,0,0,0,104,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ward 10 SW8 II,South West,Oyo,Ibadan South,Ward 10 SW8 II,,0,15,23,10,5,3,0,0,23,5
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ward 11 SW9(1),South West,Oyo,Ibadan South,Ward 11 SW9(1),,0,52,68,24,19,3,0,0,74,5
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Aaje/Ogunbado,South West,Oyo,Ogbomosho North,Aaje/Ogunbado,,0,51,76,24,23,0,0,0,85,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abogunde,South West,Oyo,Ogbomosho North,Abogunde,,0,31,45,15,11,3,0,0,50,5
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Aguodo/ Masifa,South West,Oyo,Ogbomosho North,Aguodo/ Masifa,,0,63,89,29,25,3,0,0,98,4
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Agboye/Molete,South West,Oyo,Oyo East,Agboye/Molete,,0,66,84,24,22,3,0,0,97,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ajagba,South West,Oyo,Oyo East,Ajagba,,0,53,69,18,18,0,0,0,81,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Alaodi/Modeke,South West,Oyo,Oyo East,Alaodi/Modeke,,0,27,39,10,9,0,0,0,46,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Agbonle,South West,Oyo,Saki East,Agbonle,,0,55,73,24,20,3,0,0,80,4
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ago Amodu I,South West,Oyo,Saki East,Ago Amodu I,,0,23,31,15,11,3,0,0,28,5
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ago Amodu II,South West,Oyo,Saki East,Ago Amodu II,,0,33,42,15,11,3,0,0,45,5
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,0,27,34,17,17,0,0,0,30,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ward 08 SW7,South West,Oyo,Ibadan South,Ward 08 SW7,,0,16,23,17,17,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ward 10 SW8 II,South West,Oyo,Ibadan South,Ward 10 SW8 II,,0,71,96,45,45,0,0,0,89,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ward 11 SW9(1),South West,Oyo,Ibadan South,Ward 11 SW9(1),,0,22,31,17,17,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Abogunde,South West,Oyo,Ogbomosho North,Abogunde,,0,16,23,10,9,0,0,0,23,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Alaodi/Modeke,South West,Oyo,Oyo East,Alaodi/Modeke,,0,36,50,28,27,0,0,0,42,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Agbonle,South West,Oyo,Saki East,Agbonle,,0,22,27,17,11,6,0,0,20,8
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ago Amodu I,South West,Oyo,Saki East,Ago Amodu I,,0,48,62,36,31,6,0,0,50,6
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ago Amodu II,South West,Oyo,Saki East,Ago Amodu II,,0,30,45,28,27,0,0,0,35,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ward I N2,South West,Oyo,Ibadan North,Ward I N2,,0,86,119,126,121,6,0,0,31,6
