session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Alim-Gora,North East,Taraba,Ardo Kola,Alim-Gora,,0,17,20,3,0,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ardo Kola,North East,Taraba,Ardo Kola,Ardo Kola,,0,6,7,0,0,0,0,0,3,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akate,North East,Taraba,Donga,Akate,,0,6,10,3,0,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Asibiti,North East,Taraba,Donga,Asibiti,,0,17,22,3,0,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bikadarko,North East,Taraba,Donga,Bikadarko,,0,11,15,3,0,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abbare Yelwa,North East,Taraba,Jalingo,Abbare Yelwa,,0,13,17,3,0,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Barade,North East,Taraba,Jalingo,Barade,,0,6,7,3,0,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Kachalla Sembe,North East,Taraba,Jalingo,Kachalla Sembe,,0,13,15,3,0,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gembu 'A',North East,Taraba,Sardauna,Gembu 'A',,0,15,20,3,0,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gembu 'B',North East,Taraba,Sardauna,Gembu 'B',,0,19,27,6,3,0,0,0,9,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Kabri,North East,Taraba,Sardauna,Kabri,,0,15,20,3,0,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akwana,North East,Taraba,Wukari,Akwana,,0,6,7,0,0,0,0,0,3,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Avyi,North East,Taraba,Wukari,Avyi,,0,17,22,3,0,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bantaje,North East,Taraba,Wukari,Bantaje,,0,11,15,3,0,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Alim-Gora,North East,Taraba,Ardo Kola,Alim-Gora,,0,11,15,10,6,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ardo Kola,North East,Taraba,Ardo Kola,Ardo Kola,,0,19,25,10,6,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Iware,North East,Taraba,Ardo Kola,Iware,,0,11,15,10,6,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Akate,North East,Taraba,Donga,Akate,,0,15,17,6,3,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Asibiti,North East,Taraba,Donga,Asibiti,,0,13,15,6,3,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bikadarko,North East,Taraba,Donga,Bikadarko,,0,25,32,16,13,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Barade,North East,Taraba,Jalingo,Barade,,0,8,12,10,6,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Gembu 'B',North East,Taraba,Sardauna,Gembu 'B',,0,6,7,3,0,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Kabri,North East,Taraba,Sardauna,Kabri,,0,17,22,10,6,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Akwana,North East,Taraba,Wukari,Akwana,,0,13,17,10,6,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Avyi,North East,Taraba,Wukari,Avyi,,0,13,17,10,6,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bantaje,North East,Taraba,Wukari,Bantaje,,0,6,10,3,0,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ardo Kola,North East,Taraba,Ardo Kola,Ardo Kola,,0,8,12,124,121,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Iware,North East,Taraba,Ardo Kola,Iware,,0,8,12,114,111,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Abbare Yelwa,North East,Taraba,Jalingo,Abbare Yelwa,,0,11,15,114,111,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Barade,North East,Taraba,Jalingo,Barade,,0,19,25,181,178,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Kachalla Sembe,North East,Taraba,Jalingo,Kachalla Sembe,,0,19,25,247,194,24,0,0,0,17
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gembu 'A',North East,Taraba,Sardauna,Gembu 'A',,0,11,12,181,178,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Akwana,North East,Taraba,Wukari,Akwana,,0,4,5,57,54,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Bantaje,North East,Taraba,Wukari,Bantaje,,0,6,7,67,57,5,0,0,0,3
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Alim-Gora,North East,Taraba,Ardo Kola,Alim-Gora,,0,11,12,3,0,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ardo Kola,North East,Taraba,Ardo Kola,Ardo Kola,,0,4,5,0,0,0,0,0,2,0
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Akate,North East,Taraba,Donga,Akate,,0,4,5,0,0,0,0,0,2,0
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Asibiti,North East,Taraba,Donga,Asibiti,,0,11,12,3,0,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Bikadarko,North East,Taraba,Donga,Bikadarko,,0,6,10,3,0,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Abbare Yelwa,North East,Taraba,Jalingo,Abbare Yelwa,,0,8,10,3,0,0,0,0,3,1
