session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2022/2023,North East,Bauchi,Darazo,Lago,Male,Disabled,Private,SSS,SSS1,0,0,0,0,55.0,SSS1,0,Tsangayarin Gabchiyari Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Male,Non-Disabled,Private,SSS,SSS1,23,0,1,0,55.0,SSS1,1,Wuro Bokki
2022/2023,North East,Bauchi,Darazo,Lago,Male,Disabled,Public,SSS,SSS1,1,1,0,0,55.0,SSS1,1,Zankwada Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Male,Non-Disabled,Public,SSS,SSS1,47,1,1,1,55.0,SSS1,1,Bogoyel Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Male,Disabled,Private,SSS,SSS2,0,0,0,0,55.0,,0,Central Primary School Lago
2022/2023,North East,Bauchi,Darazo,Lago,Male,Non-Disabled,Private,SSS,SSS2,19,0,1,0,55.0,,1,Dalagobe Junior Sec.Sch.
2022/2023,North East,Bauchi,Darazo,Lago,Male,Disabled,Public,SSS,SSS2,1,1,0,0,55.0,,1,Dalagobe Nomadic Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Male,Non-Disabled,Public,SSS,SSS2,38,1,1,1,55.0,,1,Garin Chindo Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Male,Disabled,Private,SSS,SSS3,0,0,0,0,55.0,,0,Garn Malam Hussaini Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Male,Non-Disabled,Private,SSS,SSS3,14,0,0,0,55.0,,1,Gastanga Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Male,Disabled,Public,SSS,SSS3,1,1,0,0,55.0,,0,Kadage Nomadic
2022/2023,North East,Bauchi,Darazo,Lago,Male,Non-Disabled,Public,SSS,SSS3,29,1,1,1,55.0,,1,Kari Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Female,Disabled,Private,Vocational,Vocational Year 1,0,0,1,1,52.0,,0,Lefere Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Female,Non-Disabled,Private,Vocational,Vocational Year 1,1,0,1,1,52.0,,0,Pandum Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Female,Disabled,Public,Vocational,Vocational Year 1,0,0,1,1,52.0,,0,Tagojen-Sade Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Female,Non-Disabled,Public,Vocational,Vocational Year 1,1,0,1,1,52.0,,0,Tsangayarin Gabchiyari Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Female,Disabled,Private,Vocational,Vocational Year 2,0,0,1,1,52.0,,0,Wuro Bokki
2022/2023,North East,Bauchi,Darazo,Lago,Female,Non-Disabled,Private,Vocational,Vocational Year 2,1,0,1,1,52.0,,0,Zankwada Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Female,Disabled,Public,Vocational,Vocational Year 2,0,0,1,1,52.0,,0,Bogoyel Primary School
2022/2023,North East,Bauchi,Darazo,Lago,Female,Non-Disabled,Public,Vocational,Vocational Year 2,1,0,1,1,52.0,,0,Central Primary School Lago
2022/2023,North East,Bauchi,Darazo,Lago,Female,Disabled,Private,Vocational,Vocational Year 3,0,0,1,1,52.0,,0,Dalagobe Junior Sec.Sch.
2022/2023,North East,Bauchi,Darazo,Lago,Female,Non-Disabled,Private,Vocational,Vocational Year 3,0,0,1,1,52.0,,0,Dalagobe Nomadic Primary School
