session,gender,disability,exam_body
2019/2020,Male,Non-Disabled,
2019/2020,Male,Disabled,
2019/2020,Female,Non-Disabled,
2019/2020,Female,Disabled,
2020/2021,Male,Non-Disabled,
2020/2021,Male,Disabled,
2020/2021,Female,Non-Disabled,
2020/2021,Female,Disabled,
2021/2022,Male,Non-Disabled,
2021/2022,Male,Disabled,
2021/2022,Female,Non-Disabled,
2021/2022,Female,Disabled,
2022/2023,Male,Non-Disabled,
2022/2023,Male,Disabled,
2022/2023,Female,Non-Disabled,
2022/2023,Female,Disabled,
2023/2024,Male,Non-Disabled,
2023/2024,Male,Disabled,
2023/2024,Female,Non-Disabled,
2023/2024,Female,Disabled,
2024/2025,Male,Non-Disabled,
2024/2025,Male,Disabled,
2024/2025,Female,Non-Disabled,
2024/2025,Female,Disabled,
