session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,pass_rate_pct,utme_candidate_count,utme_qualified_count,utme_qualifying_rate_pct,admitted_count,admission_rate_pct,matriculated_count,matriculation_completion_rate_pct
2022/2023,North West,Jigawa,Jahun,Harbo Sabuwa,"Junior Secondary School, Harbo Sabuwa",Male,Disabled,NECO,0,0,0.0,0,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Sabuwa,"Kullawa Yan Kasuwa Primary School, Kulawa",Male,Disabled,NECO,0,0,0.0,0,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Sabuwa,Lili Gabari Primary School,Male,Disabled,NECO,0,0,0.0,0,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Sabuwa,"Rijyar Gamji Nomadic Primary School, Rijyar Gamji",Male,Disabled,NECO,0,0,0.0,0,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Sabuwa,Ruwan Dawa Primary School,Male,Disabled,NECO,0,0,0.0,0,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Sabuwa,"Tukuyawa Primary School, Tukuyawa",Male,Disabled,NECO,0,0,0.0,0,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Sabuwa,"Zadul Maad Islamiya Primary School, Harbo Sabuwa",Male,Disabled,NECO,0,0,0.0,0,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Chambayi Primary School, Chambayi",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Dinilhaq Islamiya Primary School, Harbo Tsohuwa",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Dungun Garan Primary School, Dungungaran",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Gidan Dango Primary School, Giban Dango",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Harbo Tsohuwa Primary School, Harbo Tsohuwa",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,Junior Arabic Secondary School Harbo Tsohuwa,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Junior Secondary School, Chambayi",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Kafinbaka Primary School, Kafin Baka",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
