session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,pupil_teacher_ratio
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1003,42,23.88095238095238
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Disabled,Public,Pre-Primary/Primary,Primary 5,NCE,Qualified,1077,45,23.933333333333334
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,957,40,23.925
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,1077,45,23.933333333333334
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1049,44,23.84090909090909
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,95,4,23.75
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Non-Disabled,Public,SSS,,NCE,Qualified,159,6,26.5
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,303,12,25.25
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,127,5,25.4
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Disabled,Public,SSS,,Grade II or Equivalent,Unqualified,190,7,27.142857142857142
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Non-Disabled,Public,SSS,,PGDE,Qualified,321,12,26.75
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Non-Disabled,Public,SSS,,Grade II or Equivalent,Unqualified,238,9,26.444444444444443
2023/2024,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Non-Disabled,Public,SSS,,MEd or Equivalent,Qualified,250,10,25.0
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,663,28,23.678571428571427
