session,disability_scope,student_count,is_o_level_student,school_count,classroom_count,computer_count
2019/2020,all,113104232,60500,3131840,6299376,3343968
2019/2020,disabled,3154800,0,3131840,6299376,3343968
2020/2021,all,99180440,48787,2694081,5462788,2993049
2020/2021,disabled,2465379,0,2437632,4901748,2685576
2021/2022,all,93093567,42900,2519784,4967910,2878710
2021/2022,disabled,2590440,0,2519784,4967910,2878710
2022/2023,all,89646954,54474,2562696,4886052,2769312
2022/2023,disabled,2505633,8790,2562696,4886052,2769312
2023/2024,all,96283944,43302,2607648,5087838,3065022
2023/2024,disabled,2661330,0,2607648,5087838,3065022
2024/2025,all,32263190,2846300,99093,5303772,3312702
2024/2025,disabled,916149,230363,99093,5303772,3312702
