session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Esan Central,South South,Edo,Esan Central,,,306,0,12,32,20,25.5,9.5625,15.3
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Etsako West,South South,Edo,Etsako West,,,269,0,12,29,20,22.4167,9.2759,13.45
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Oredo,South South,Edo,Oredo,,,603,0,28,64,42,21.5357,9.4219,14.3571
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Owan East,South South,Edo,Owan East,,,316,0,12,34,22,26.3333,9.2941,14.3636
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Esan Central,South South,Edo,Esan Central,,,238,0,12,25,17,19.8333,9.52,14.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Etsako West,South South,Edo,Etsako West,,,211,0,12,25,17,17.5833,8.44,12.4118
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Oredo,South South,Edo,Oredo,,,468,0,28,52,34,16.7143,9.0,13.7647
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Owan East,South South,Edo,Owan East,,,246,0,16,28,18,15.375,8.7857,13.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Esan Central,South South,Edo,Esan Central,,,130,0,12,17,12,10.8333,7.6471,10.8333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Etsako West,South South,Edo,Etsako West,,,115,0,12,15,12,9.5833,7.6667,9.5833
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Oredo,South South,Edo,Oredo,,,255,0,28,33,25,9.1071,7.7273,10.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Owan East,South South,Edo,Owan East,,,135,0,16,18,13,8.4375,7.5,10.3846
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Esan Central,South South,Edo,Esan Central,,,836,0,24,36,22,34.8333,23.2222,38.0
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Etsako West,South South,Edo,Etsako West,,,778,0,20,35,22,38.9,22.2286,35.3636
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Oredo,South South,Edo,Oredo,,,1705,0,52,70,43,32.7885,24.3571,39.6512
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Owan East,South South,Edo,Owan East,,,940,0,32,41,25,29.375,22.9268,37.6
2019/2020,Female,all,Private,JSS,JSS2,,lga,Esan Central,South South,Edo,Esan Central,,,684,0,28,31,20,24.4286,22.0645,34.2
2019/2020,Female,all,Private,JSS,JSS2,,lga,Etsako West,South South,Edo,Etsako West,,,633,0,24,29,19,26.375,21.8276,33.3158
2019/2020,Female,all,Private,JSS,JSS2,,lga,Oredo,South South,Edo,Oredo,,,1398,0,56,61,41,24.9643,22.918,34.0976
2019/2020,Female,all,Private,JSS,JSS2,,lga,Owan East,South South,Edo,Owan East,,,768,0,32,33,22,24.0,23.2727,34.9091
2019/2020,Female,all,Private,JSS,JSS3,,lga,Esan Central,South South,Edo,Esan Central,,,547,0,24,26,18,22.7917,21.0385,30.3889
2019/2020,Female,all,Private,JSS,JSS3,,lga,Etsako West,South South,Edo,Etsako West,,,511,0,20,23,16,25.55,22.2174,31.9375
2019/2020,Female,all,Private,JSS,JSS3,,lga,Oredo,South South,Edo,Oredo,,,1117,0,56,52,34,19.9464,21.4808,32.8529
2019/2020,Female,all,Private,JSS,JSS3,,lga,Owan East,South South,Edo,Owan East,,,616,0,32,27,17,19.25,22.8148,36.2353
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Esan Central,South South,Edo,Esan Central,,,3008,0,48,142,75,62.6667,21.1831,40.1067
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Etsako West,South South,Edo,Etsako West,,,2602,0,40,120,64,65.05,21.6833,40.6562
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Oredo,South South,Edo,Oredo,,,4792,0,80,221,120,59.9,21.6833,39.9333
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Owan East,South South,Edo,Owan East,,,2981,0,44,135,72,67.75,22.0815,41.4028
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Esan Central,South South,Edo,Esan Central,,,2674,0,52,126,67,51.4231,21.2222,39.9104
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Etsako West,South South,Edo,Etsako West,,,2315,0,44,105,58,52.6136,22.0476,39.9138
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Oredo,South South,Edo,Oredo,,,4261,0,80,198,108,53.2625,21.5202,39.4537
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Owan East,South South,Edo,Owan East,,,2645,0,52,121,64,50.8654,21.8595,41.3281
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Esan Central,South South,Edo,Esan Central,,,2404,0,48,115,62,50.0833,20.9043,38.7742
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Etsako West,South South,Edo,Etsako West,,,2079,0,44,96,54,47.25,21.6562,38.5
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Oredo,South South,Edo,Oredo,,,3829,0,80,180,99,47.8625,21.2722,38.6768
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Owan East,South South,Edo,Owan East,,,2379,0,52,109,59,45.75,21.8257,40.322
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Esan Central,South South,Edo,Esan Central,,,2195,0,52,106,58,42.2115,20.7075,37.8448
