session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Balanga,North East,Gombe,Balanga,,,228,0,12,31,23,19.0,7.3548,9.913,16.69,29.76,2.54,5.45,7.35,4.92,4.78
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Gombe,North East,Gombe,Gombe,,,255,0,12,31,23,21.25,8.2258,11.087,16.3,29.76,2.4,4.87,7.25,4.84,4.73
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Kaltungo,North East,Gombe,Kaltungo,,,217,0,12,29,21,18.0833,7.4828,10.3333,16.54,27.84,2.49,5.23,7.32,4.89,4.76
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Nafada,North East,Gombe,Nafada,,,297,0,12,37,26,24.75,8.027,11.4231,16.21,35.52,2.37,4.73,7.23,4.82,4.72
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,294,0,16,37,27,18.375,7.9459,10.8889,16.36,35.52,3.23,6.61,9.69,6.47,6.32
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Balanga,North East,Gombe,Balanga,,,177,0,12,25,19,14.75,7.08,9.3158,16.92,24,2.63,5.8,7.42,4.97,4.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Gombe,North East,Gombe,Gombe,,,200,0,12,26,20,16.6667,7.6923,10.0,16.66,24.96,2.53,5.4,7.35,4.92,4.77
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Kaltungo,North East,Gombe,Kaltungo,,,169,0,12,25,19,14.0833,6.76,8.8947,17.1,24,2.69,6.07,7.47,5.01,4.83
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Nafada,North East,Gombe,Nafada,,,231,0,12,30,22,19.25,7.7,10.5,16.48,28.8,2.47,5.14,7.3,4.88,4.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,228,0,16,30,22,14.25,7.6,10.3636,16.53,28.8,3.31,6.95,9.75,6.52,6.34
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Balanga,North East,Gombe,Balanga,,,98,0,12,17,12,8.1667,5.7647,8.1667,17.46,16.32,2.82,6.61,7.56,5.08,4.87
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Gombe,North East,Gombe,Gombe,,,110,0,12,17,12,9.1667,6.4706,9.1667,16.98,16.32,2.65,5.89,7.43,4.98,4.81
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Kaltungo,North East,Gombe,Kaltungo,,,94,0,12,15,12,7.8333,6.2667,7.8333,17.65,14.4,2.89,6.89,7.62,5.12,4.89
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Nafada,North East,Gombe,Nafada,,,127,0,12,19,14,10.5833,6.6842,9.0714,17.02,18.24,2.66,5.95,7.45,4.99,4.82
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,125,0,16,20,15,7.8125,6.25,8.3333,17.38,19.2,3.72,8.64,10.05,6.75,6.48
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Balanga,North East,Gombe,Balanga,,,757,0,24,39,27,31.5417,19.4103,28.037,8.72,21.33,5.79,3.85,8.78,5.43,5.46
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Gombe,North East,Gombe,Gombe,,,759,0,24,40,28,31.625,18.975,27.1071,8.94,22.39,5.84,3.98,8.95,5.56,5.58
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Kaltungo,North East,Gombe,Kaltungo,,,628,0,16,33,23,39.25,19.0303,27.3043,9.32,19.41,3.92,2.64,6.18,3.86,3.88
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Nafada,North East,Gombe,Nafada,,,746,0,20,39,28,37.3,19.1282,26.6429,9.21,22.52,4.91,3.38,7.64,4.76,4.78
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,830,0,24,43,33,34.5833,19.3023,25.1515,9.07,24.16,5.92,4.29,9.03,5.62,5.62
2019/2020,Female,all,Private,JSS,JSS2,,lga,Balanga,North East,Gombe,Balanga,,,621,0,24,32,24,25.875,19.4062,25.875,8.53,16.8,5.83,4.17,8.59,5.29,5.3
2019/2020,Female,all,Private,JSS,JSS2,,lga,Gombe,North East,Gombe,Gombe,,,622,0,24,34,24,25.9167,18.2941,25.9167,8.97,18.95,5.88,4.17,8.96,5.56,5.57
2019/2020,Female,all,Private,JSS,JSS2,,lga,Kaltungo,North East,Gombe,Kaltungo,,,515,0,16,29,21,32.1875,17.7586,24.5238,9.63,17.41,4.01,2.94,6.32,3.97,3.98
2019/2020,Female,all,Private,JSS,JSS2,,lga,Nafada,North East,Gombe,Nafada,,,611,0,24,33,24,25.4583,18.5152,25.4583,8.88,18.11,5.89,4.24,8.87,5.5,5.51
2019/2020,Female,all,Private,JSS,JSS2,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,679,0,24,35,25,28.2917,19.4,27.16,8.6,18.71,5.8,3.98,8.67,5.35,5.37
2019/2020,Female,all,Private,JSS,JSS3,,lga,Balanga,North East,Gombe,Balanga,,,495,0,24,27,21,20.625,18.3333,23.5714,8.79,14.43,5.95,4.58,8.77,5.43,5.41
2019/2020,Female,all,Private,JSS,JSS3,,lga,Gombe,North East,Gombe,Gombe,,,500,0,24,29,23,20.8333,17.2414,21.7391,9.4,16.5,6.1,4.97,9.23,5.77,5.74
2019/2020,Female,all,Private,JSS,JSS3,,lga,Kaltungo,North East,Gombe,Kaltungo,,,413,0,16,25,18,25.8125,16.52,22.9444,9.95,15.41,4.07,3.14,6.48,4.09,4.08
2019/2020,Female,all,Private,JSS,JSS3,,lga,Nafada,North East,Gombe,Nafada,,,491,0,20,27,21,24.55,18.1852,23.381,9.09,14.98,4.99,3.85,7.51,4.67,4.66
2019/2020,Female,all,Private,JSS,JSS3,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,540,0,20,29,21,27.0,18.6207,25.7143,8.9,16,4.9,3.5,7.42,4.6,4.61
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Balanga,North East,Gombe,Balanga,,,1811,0,28,105,75,64.6786,17.2476,24.1467,11.82,79.76,4.65,5.22,13.18,8.5,8.55
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Gombe,North East,Gombe,Gombe,,,2482,0,48,136,97,51.7083,18.25,25.5876,10.44,90.38,7.54,8.44,20.35,12.92,12.99
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Kaltungo,North East,Gombe,Kaltungo,,,1856,0,32,106,76,58.0,17.5094,24.4211,11.26,76.28,5.21,5.9,14.44,9.26,9.31
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Nafada,North East,Gombe,Nafada,,,2308,0,40,131,93,57.7,17.6183,24.8172,11.16,93.52,6.47,7.25,17.93,11.48,11.55
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,2212,0,40,122,86,55.3,18.1311,25.7209,10.7,83.42,6.32,7,17.31,11.03,11.1
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Balanga,North East,Gombe,Balanga,,,1610,0,32,94,67,50.3125,17.1277,24.0299,11.05,65.99,5.19,5.99,14.2,9.08,9.12
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Gombe,North East,Gombe,Gombe,,,2208,0,48,120,85,46.0,18.4,25.9765,10.03,76.3,7.41,8.32,19.68,12.43,12.49
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Kaltungo,North East,Gombe,Kaltungo,,,1650,0,32,93,65,51.5625,17.7419,25.3846,10.71,63.52,5.07,5.67,13.85,8.83,8.87
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Nafada,North East,Gombe,Nafada,,,2049,0,40,117,84,51.225,17.5128,24.3929,10.87,80.78,6.43,7.38,17.51,11.18,11.22
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,1966,0,40,108,76,49.15,18.2037,25.8684,10.31,70.82,6.24,6.96,16.78,10.63,10.69
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Balanga,North East,Gombe,Balanga,,,1443,0,28,85,61,51.5357,16.9765,23.6557,11.23,60.66,4.59,5.33,12.59,8.07,8.1
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Gombe,North East,Gombe,Gombe,,,1984,0,44,109,78,45.0909,18.2018,25.4359,10.11,69.66,6.84,7.78,18.14,11.46,11.51
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Kaltungo,North East,Gombe,Kaltungo,,,1481,0,32,85,61,46.2812,17.4235,24.2787,10.63,57.18,5.11,5.93,13.75,8.75,8.78
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Nafada,North East,Gombe,Nafada,,,1841,0,44,105,75,41.8409,17.5333,24.5467,10.3,68.2,6.94,8.07,18.4,11.66,11.7
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,1768,0,36,98,70,49.1111,18.0408,25.2571,10.42,64.82,5.66,6.41,15.23,9.66,9.71
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Balanga,North East,Gombe,Balanga,,,1320,0,28,77,55,47.1429,17.1429,24.0,10.85,52.94,4.52,5.25,12.23,7.81,7.83
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Gombe,North East,Gombe,Gombe,,,1815,0,40,101,71,45.375,17.9703,25.5634,10.23,65.5,6.24,7.04,16.66,10.55,10.6
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Kaltungo,North East,Gombe,Kaltungo,,,1356,0,32,79,57,42.375,17.1646,23.7895,10.57,52.6,5.13,6.05,13.66,8.69,8.71
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Nafada,North East,Gombe,Nafada,,,1683,0,36,97,70,46.75,17.3505,24.0429,10.71,65.72,5.78,6.74,15.56,9.91,9.94
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,1615,0,36,91,65,44.8611,17.7473,24.8462,10.35,59.55,5.67,6.52,15.13,9.59,9.63
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Balanga,North East,Gombe,Balanga,,,1238,0,32,73,53,38.6875,16.9589,23.3585,10.48,48,5.14,6.16,13.56,8.61,8.62
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Gombe,North East,Gombe,Gombe,,,1699,0,48,95,68,35.3958,17.8842,24.9853,9.73,57.93,7.41,8.65,19.15,12.04,12.07
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Kaltungo,North East,Gombe,Kaltungo,,,1268,0,32,75,53,39.625,16.9067,23.9245,10.53,49.78,5.12,6.02,13.63,8.66,8.68
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Nafada,North East,Gombe,Nafada,,,1574,0,44,90,64,35.7727,17.4889,24.5938,9.97,56.26,6.87,8.05,17.9,11.29,11.32
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,1513,0,36,85,60,42.0278,17.8,25.2167,10.14,54.45,5.62,6.42,14.87,9.4,9.44
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Balanga,North East,Gombe,Balanga,,,1119,0,36,66,48,31.0833,16.9545,23.3125,10.03,41.19,5.7,6.95,14.69,9.27,9.27
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Gombe,North East,Gombe,Gombe,,,1537,0,40,86,62,38.425,17.8721,24.7903,9.92,53.57,6.22,7.26,16.22,10.22,10.25
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Kaltungo,North East,Gombe,Kaltungo,,,1146,0,32,67,49,35.8125,17.1045,23.3878,10.23,42.84,5.1,6.16,13.28,8.41,8.42
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Nafada,North East,Gombe,Nafada,,,1426,0,44,82,58,32.4091,17.3902,24.5862,9.82,50.36,6.83,8.05,17.67,11.12,11.14
