session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Dala,North West,Kano,Dala,,,450,0,24,43,34,18.75,10.4651,13.2353,15.27,39.68,4.37,8.16,13.8,9.15,9.02
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Fagge,North West,Kano,Fagge,,,373,0,16,37,29,23.3125,10.0811,12.8621,15.85,35.52,2.99,5.6,9.51,6.33,6.24
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Gwale,North West,Kano,Gwale,,,390,0,20,38,30,19.5,10.2632,13.0,15.64,35.96,3.7,6.92,11.74,7.81,7.69
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Kano Municipal,North West,Kano,Kano Municipal,,,341,0,12,32,26,28.4167,10.6562,13.1154,15.8,30.72,2.22,4.12,7.12,4.74,4.67
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Nasarawa,North West,Kano,Nasarawa,,,414,0,16,40,31,25.875,10.35,13.3548,15.75,38.4,2.94,5.39,9.47,6.3,6.22
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Dala,North West,Kano,Dala,,,349,0,24,35,27,14.5417,9.9714,12.9259,15.52,32.79,4.44,8.36,13.99,9.3,9.15
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Fagge,North West,Kano,Fagge,,,290,0,20,30,23,14.5,9.6667,12.6087,15.91,28.8,3.77,7.14,11.91,7.93,7.81
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Gwale,North West,Kano,Gwale,,,302,0,20,31,24,15.1,9.7419,12.5833,15.92,29.76,3.77,7.15,11.91,7.94,7.81
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Kano Municipal,North West,Kano,Kano Municipal,,,266,0,12,26,20,22.1667,10.2308,13.3,15.76,24.96,2.21,4.06,7.11,4.73,4.67
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Nasarawa,North West,Kano,Nasarawa,,,322,0,16,33,26,20.125,9.7576,12.3846,15.96,31.68,3.04,5.81,9.55,6.36,6.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Dala,North West,Kano,Dala,,,192,0,24,21,15,8.0,9.1429,12.8,15.87,20.16,4.49,8.44,14.27,9.5,9.36
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Fagge,North West,Kano,Fagge,,,159,0,20,19,14,7.95,8.3684,11.3571,16.23,18.24,3.96,7.92,12.05,8.04,7.87
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Gwale,North West,Kano,Gwale,,,167,0,20,19,14,8.35,8.7895,11.9286,16.07,18.24,3.87,7.54,11.98,7.99,7.84
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Kano Municipal,North West,Kano,Kano Municipal,,,145,0,12,17,12,12.0833,8.5294,12.0833,16.04,16.32,2.31,4.47,7.18,4.79,4.7
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Nasarawa,North West,Kano,Nasarawa,,,175,0,16,21,15,10.9375,8.3333,11.6667,16.14,20.16,3.13,6.17,9.61,6.41,6.28
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Dala,North West,Kano,Dala,,,1373,0,36,54,42,38.1389,25.4259,32.6905,7.04,23.6,8.22,4.96,11.17,6.66,6.72
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Fagge,North West,Kano,Fagge,,,1099,0,40,46,36,27.475,23.8913,30.5278,7.05,19.85,9.21,5.9,12.37,7.38,7.42
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Gwale,North West,Kano,Gwale,,,1240,0,40,50,38,31.0,24.8,32.6316,6.9,21.32,9.11,5.52,12.21,7.25,7.31
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Kano Municipal,North West,Kano,Kano Municipal,,,1089,0,32,42,32,34.0312,25.9286,34.0312,6.72,17.5,7.22,4.23,9.59,5.67,5.72
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Nasarawa,North West,Kano,Nasarawa,,,1145,0,36,45,35,31.8056,25.4444,32.7143,6.79,18.81,8.17,4.95,10.84,6.42,6.47
2019/2020,Female,all,Private,JSS,JSS2,,lga,Dala,North West,Kano,Dala,,,1132,0,44,43,32,25.7273,26.3256,35.375,6.38,16.96,9.81,5.6,12.68,7.43,7.51
