session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,302,0,12,41,15,25.1667,7.3659,20.1333,14.84,39.36,1.88,2.68,6.86,4.54,4.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Jos North,North Central,Plateau,Jos North,,,368,0,16,50,19,23.0,7.36,19.3684,14.91,48,2.54,3.72,9.17,6.07,6.09
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Jos South,North Central,Plateau,Jos South,,,291,0,12,42,16,24.25,6.9286,18.1875,15.04,40.32,1.95,2.97,6.91,4.58,4.58
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Mangu,North Central,Plateau,Mangu,,,311,0,16,44,17,19.4375,7.0682,18.2941,15.02,42.24,2.59,3.94,9.21,6.1,6.1
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Pankshin,North Central,Plateau,Pankshin,,,333,0,16,44,16,20.8125,7.5682,20.8125,14.79,42.24,2.48,3.46,9.12,6.04,6.06
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,236,0,16,33,12,14.75,7.1515,19.6667,14.89,31.68,2.52,3.66,9.16,6.06,6.08
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Jos North,North Central,Plateau,Jos North,,,286,0,16,40,15,17.875,7.15,19.0667,14.94,38.4,2.55,3.78,9.18,6.08,6.09
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Jos South,North Central,Plateau,Jos South,,,227,0,12,32,12,18.9167,7.0938,18.9167,14.96,30.72,1.92,2.85,6.89,4.56,4.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Mangu,North Central,Plateau,Mangu,,,243,0,12,36,13,20.25,6.75,18.6923,14.98,34.56,1.93,2.89,6.89,4.57,4.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Pankshin,North Central,Plateau,Pankshin,,,260,0,16,36,14,16.25,7.2222,18.5714,14.99,34.56,2.58,3.88,9.2,6.09,6.1
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,129,0,12,21,6,10.75,6.1429,21.5,14.73,20.16,1.84,2.51,6.83,4.52,4.54
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Jos North,North Central,Plateau,Jos North,,,156,0,12,25,7,13.0,6.24,22.2857,14.67,24,1.82,2.42,6.81,4.5,4.53
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Jos South,North Central,Plateau,Jos South,,,124,0,12,20,6,10.3333,6.2,20.6667,14.8,19.2,1.86,2.61,6.84,4.53,4.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Mangu,North Central,Plateau,Mangu,,,134,0,12,23,7,11.1667,5.8261,19.1429,14.94,22.08,1.91,2.82,6.88,4.56,4.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Pankshin,North Central,Plateau,Pankshin,,,143,0,16,23,7,8.9375,6.2174,20.4286,14.82,22.08,2.49,3.52,9.13,6.05,6.07
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,1027,0,28,57,22,36.6786,18.0175,46.6818,9.07,34.8,6.45,2.7,10.76,6.71,6.86
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Jos North,North Central,Plateau,Jos North,,,1167,0,28,65,23,41.6786,17.9538,50.7391,9.33,41.19,6.44,2.48,11.03,6.9,7.07
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Jos South,North Central,Plateau,Jos South,,,1085,0,24,59,22,45.2083,18.3898,49.3182,9.34,37.35,5.53,2.19,9.45,5.92,6.06
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Mangu,North Central,Plateau,Mangu,,,967,0,28,55,21,34.5357,17.5818,46.0476,9.17,33.91,6.47,2.74,10.85,6.77,6.92
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Pankshin,North Central,Plateau,Pankshin,,,957,0,24,53,19,39.875,18.0566,50.3684,9.18,32.99,5.5,2.14,9.33,5.82,5.97
2019/2020,Female,all,Private,JSS,JSS2,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,838,0,32,50,19,26.1875,16.76,44.1053,9.1,30.47,7.41,3.26,12.31,7.68,7.84
2019/2020,Female,all,Private,JSS,JSS2,,lga,Jos North,North Central,Plateau,Jos North,,,959,0,28,55,21,34.25,17.4364,45.6667,9.23,34.13,6.48,2.76,10.9,6.81,6.97
2019/2020,Female,all,Private,JSS,JSS2,,lga,Jos South,North Central,Plateau,Jos South,,,893,0,32,51,19,27.9062,17.5098,47.0,8.8,30.13,7.32,3.06,12,7.44,7.61
2019/2020,Female,all,Private,JSS,JSS2,,lga,Mangu,North Central,Plateau,Mangu,,,791,0,28,47,19,28.25,16.8298,41.6316,9.24,28.96,6.54,3.03,10.89,6.8,6.94
2019/2020,Female,all,Private,JSS,JSS2,,lga,Pankshin,North Central,Plateau,Pankshin,,,782,0,24,44,18,32.5833,17.7727,43.4444,9.01,26.47,5.55,2.49,9.15,5.7,5.82
2019/2020,Female,all,Private,JSS,JSS3,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,674,0,28,40,16,24.0714,16.85,42.125,8.97,23.87,6.49,2.99,10.63,6.61,6.75
2019/2020,Female,all,Private,JSS,JSS3,,lga,Jos North,North Central,Plateau,Jos North,,,764,0,32,44,16,23.875,17.3636,47.75,8.62,25.44,7.28,3.02,11.8,7.3,7.47
2019/2020,Female,all,Private,JSS,JSS3,,lga,Jos South,North Central,Plateau,Jos South,,,714,0,24,42,16,29.75,17.0,44.625,9.19,25.89,5.56,2.42,9.31,5.81,5.94
2019/2020,Female,all,Private,JSS,JSS3,,lga,Mangu,North Central,Plateau,Mangu,,,632,0,28,39,14,22.5714,16.2051,45.1429,9.14,23.93,6.47,2.79,10.82,6.75,6.9
2019/2020,Female,all,Private,JSS,JSS3,,lga,Pankshin,North Central,Plateau,Pankshin,,,625,0,24,38,14,26.0417,16.4474,44.6429,9.24,23.57,5.57,2.42,9.35,5.84,5.97
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,2792,0,48,175,71,58.1667,15.9543,39.3239,11.67,138.34,7.24,5.49,22.66,14.61,14.91
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Jos North,North Central,Plateau,Jos North,,,3429,0,56,210,85,61.2321,16.3286,40.3412,11.59,165.16,8.39,6.25,26.31,16.95,17.3
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Jos South,North Central,Plateau,Jos South,,,2286,0,36,141,57,63.5,16.2128,40.1053,11.81,113.17,5.44,4.04,17.19,11.1,11.33
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Mangu,North Central,Plateau,Mangu,,,2748,0,52,178,73,52.8462,15.4382,37.6438,11.72,140.82,7.91,6.22,24.61,15.88,16.18
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Pankshin,North Central,Plateau,Pankshin,,,3070,0,48,185,75,63.9583,16.5946,40.9333,11.57,145.45,7.17,5.28,22.53,14.51,14.82
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,2479,0,48,154,63,51.6458,16.0974,39.3492,11.16,115.98,7.12,5.49,21.82,13.99,14.27
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Jos North,North Central,Plateau,Jos North,,,3044,0,56,187,76,54.3571,16.2781,40.0526,11.2,141.61,8.29,6.29,25.54,16.38,16.72
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Jos South,North Central,Plateau,Jos South,,,2032,0,40,127,52,50.8,16.0,39.0769,11.17,95.73,5.94,4.61,18.2,11.67,11.9
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Mangu,North Central,Plateau,Mangu,,,2443,0,48,157,64,50.8958,15.5605,38.1719,11.49,121.75,7.23,5.66,22.35,14.38,14.66
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Pankshin,North Central,Plateau,Pankshin,,,2728,0,52,164,67,52.4615,16.6341,40.7164,10.85,120.13,7.59,5.75,23.1,14.75,15.06
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,2230,0,48,140,56,46.4583,15.9286,39.8214,10.92,103.14,7.05,5.42,21.44,13.71,13.98
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Jos North,North Central,Plateau,Jos North,,,2739,0,60,170,69,45.65,16.1118,39.6957,10.76,123.17,8.76,6.8,26.46,16.88,17.22
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Jos South,North Central,Plateau,Jos South,,,1829,0,36,114,46,50.8056,16.0439,39.7609,11.13,85.7,5.32,4.07,16.33,10.47,10.68
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Mangu,North Central,Plateau,Mangu,,,2196,0,48,143,58,45.75,15.3566,37.8621,11.3,108.78,7.19,5.7,22.03,14.14,14.41
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Pankshin,North Central,Plateau,Pankshin,,,2454,0,52,149,60,47.1923,16.4698,40.9,10.62,106.66,7.52,5.72,22.68,14.45,14.75
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,2038,0,48,129,52,42.4583,15.7984,39.1923,10.76,93.37,7.03,5.51,21.16,13.5,13.77
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Jos North,North Central,Plateau,Jos North,,,2503,0,56,155,62,44.6964,16.1484,40.371,10.66,111.36,8.13,6.24,24.51,15.62,15.94
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Jos South,North Central,Plateau,Jos South,,,1667,0,40,104,40,41.675,16.0288,41.675,10.52,73.81,5.75,4.32,17.32,11.02,11.25
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Mangu,North Central,Plateau,Mangu,,,2007,0,48,132,53,41.8125,15.2045,37.8679,11.14,98.85,7.15,5.7,21.76,13.95,14.21
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Pankshin,North Central,Plateau,Pankshin,,,2241,0,48,136,54,46.6875,16.4779,41.5,10.57,96.99,6.92,5.2,20.87,13.28,13.56
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,1909,0,48,120,48,39.7708,15.9083,39.7708,10.51,84.73,6.95,5.43,20.75,13.2,13.46
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Jos North,North Central,Plateau,Jos North,,,2344,0,60,147,60,39.0667,15.9456,39.0667,10.46,103.07,8.7,6.91,25.82,16.41,16.73
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Jos South,North Central,Plateau,Jos South,,,1563,0,36,100,39,43.4167,15.63,40.0769,10.91,73.62,5.28,4.04,16.06,10.27,10.48
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Mangu,North Central,Plateau,Mangu,,,1879,0,44,123,50,42.7045,15.2764,37.58,11.15,92.21,6.57,5.27,19.97,12.8,13.04
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Pankshin,North Central,Plateau,Pankshin,,,2101,0,48,128,52,43.7708,16.4141,40.4038,10.45,89.93,6.92,5.35,20.65,13.13,13.39
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,1724,0,48,110,43,35.9167,15.6727,40.093,10.39,76.81,6.91,5.39,20.56,13.06,13.32
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Jos North,North Central,Plateau,Jos North,,,2119,0,60,132,53,35.3167,16.053,39.9811,10.13,89.62,8.57,6.75,25.16,15.93,16.24
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Jos South,North Central,Plateau,Jos South,,,1412,0,40,89,36,35.3,15.8652,39.2222,10.26,61.13,5.75,4.59,16.94,10.74,10.95
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Mangu,North Central,Plateau,Mangu,,,1700,0,48,112,45,35.4167,15.1786,37.7778,10.72,80.48,7.06,5.72,21.08,13.44,13.7
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Pankshin,North Central,Plateau,Pankshin,,,1898,0,52,117,48,36.5,16.2222,39.5417,10.12,79.25,7.43,5.92,21.78,13.78,14.05
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,637,3,24,41,16,26.5417,15.5366,39.8125,9.87,27.02,7.24,2.71,9.84,6.21,6.33
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Jos North,North Central,Plateau,Jos North,,,931,3,36,59,22,25.8611,15.7797,42.3182,9.63,38.1,10.77,3.83,14.49,9.11,9.3
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Jos South,North Central,Plateau,Jos South,,,765,3,28,48,20,27.3214,15.9375,38.25,9.73,31.02,8.45,3.29,11.34,7.13,7.27
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Mangu,North Central,Plateau,Mangu,,,747,3,28,48,20,26.6786,15.5625,37.35,9.92,31.62,8.49,3.37,11.52,7.27,7.4
