session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,Private,JSS,JSS1,JSS1,94.75,1.5,2.75,1.5,37.2,0.0,63.1667,34.4545,63.1667,1.04,0.55,0.21,0.97,0.7,0.68
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,211.25,2.0,6.5,3.5,36.2,0.0,105.625,32.5,60.3571,3.23,0.55,0.28,1.36,0.99,0.96
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,Private,SSS,SSS1,SSS1,69.25,1.5,2.25,1.25,38.2,0.25,46.1667,30.7778,55.4,0.86,0.65,0.22,0.97,0.7,0.68
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,Public,JSS,JSS1,JSS1,237.25,3.5,6.25,3.5,37.2,0.0,67.7857,37.96,67.7857,2.2,1.29,0.47,2.23,1.62,1.57
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,880.0,8.0,26.75,14.25,36.2,0.0,110.0,32.8972,61.7544,13.42,2.19,1.1,5.45,3.95,3.86
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,Public,SSS,SSS1,SSS1,152.5,3.0,4.5,2.5,38.2,0.25,50.8333,33.8889,61.0,1.6,1.3,0.43,1.91,1.39,1.35
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,disabled,Private,JSS,JSS1,JSS1,2.75,0.75,0.25,0.25,18.6,0.0,3.6667,11.0,11.0,0.21,0.26,0.33,0.45,0.3,0.29
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.5,1.0,0.25,0.25,18.1,0.0,5.5,22.0,22.0,0.11,0.21,0.24,0.46,0.31,0.3
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,disabled,Private,SSS,SSS1,SSS1,1.5,0.75,0.25,0.25,19.1,0.0,2.0,6.0,6.0,0.24,0.36,0.59,0.5,0.34,0.32
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,disabled,Public,JSS,JSS1,JSS1,6.0,1.75,0.25,0.25,18.6,0.0,3.4286,24.0,24.0,0.11,0.53,0.39,0.8,0.54,0.52
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,27.25,4.0,0.75,0.5,18.1,0.0,6.8125,36.3333,54.5,0.23,0.73,0.46,1.63,1.09,1.08
