session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ariaria Market,South East,Abia,Aba North,Ariaria Market,,109,0,4,16,12,27.25,6.8125,9.0833,17.02,15.36,0.89,1.98,2.48,1.66,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Eziama,South East,Abia,Aba North,Eziama,,145,0,8,22,17,18.125,6.5909,8.5294,17.28,21.12,1.84,4.22,5.01,3.36,3.23
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Industrial Area,South East,Abia,Aba North,Industrial Area,,81,0,4,12,9,20.25,6.75,9.0,17.06,11.52,0.89,2,2.48,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Aba River,South East,Abia,Aba South,Aba River,,59,0,4,10,8,14.75,5.9,7.375,17.94,9.6,1,2.44,2.56,1.73,1.64
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Aba Town Hall,South East,Abia,Aba South,Aba Town Hall,,103,0,4,15,11,25.75,6.8667,9.3636,16.9,14.4,0.87,1.92,2.47,1.66,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Asa,South East,Abia,Aba South,Asa,,88,0,4,14,11,22.0,6.2857,8.0,17.56,13.44,0.95,2.25,2.53,1.7,1.63
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Arochukwu I,South East,Abia,Arochukwu,Arochukwu I,,89,0,4,13,10,22.25,6.8462,8.9,17.1,12.48,0.9,2.02,2.49,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Arochukwu II,South East,Abia,Arochukwu,Arochukwu II,,112,0,4,16,12,28.0,7.0,9.3333,16.91,15.36,0.87,1.93,2.47,1.66,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Arochukwu III,South East,Abia,Arochukwu,Arochukwu III,,161,0,8,23,18,20.125,7.0,8.9444,17.08,22.08,1.79,4.02,4.97,3.34,3.22
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Afugiri,South East,Abia,Umuahia North,Afugiri,,104,0,4,16,12,26.0,6.5,8.6667,17.21,15.36,0.91,2.08,2.5,1.68,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ibeku East I,South East,Abia,Umuahia North,Ibeku East I,,86,0,4,14,11,21.5,6.1429,7.8182,17.66,13.44,0.96,2.3,2.54,1.71,1.63
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ibeku East II,South East,Abia,Umuahia North,Ibeku East II,,117,0,4,17,13,29.25,6.8824,9.0,17.06,16.32,0.89,2,2.48,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ahiaukwu  I,South East,Abia,Umuahia South,Ahiaukwu  I,,125,0,4,19,14,31.25,6.5789,8.9286,17.09,18.24,0.9,2.02,2.49,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ahiaukwu  II,South East,Abia,Umuahia South,Ahiaukwu  II,,118,0,4,17,13,29.5,6.9412,9.0769,17.02,16.32,0.89,1.98,2.48,1.66,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Amakama,South East,Abia,Umuahia South,Amakama,,102,0,4,16,12,25.5,6.375,8.5,17.29,15.36,0.92,2.12,2.51,1.68,1.62
