session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Abogunde/Sagba,South West,Osun,Ede North,Abogunde/Sagba,,99,0,4,16,11,24.75,6.1875,9.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Alusekere,South West,Osun,Ede North,Alusekere,,117,0,4,18,13,29.25,6.5,9.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Apaso,South West,Osun,Ede North,Apaso,,61,0,4,10,7,15.25,6.1,8.7143
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Akarabata,South West,Osun,Ife Central,Akarabata,,90,0,4,15,10,22.5,6.0,9.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ilare I,South West,Osun,Ife Central,Ilare I,,105,0,4,16,11,26.25,6.5625,9.5455
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ilare II,South West,Osun,Ife Central,Ilare II,,100,0,4,15,11,25.0,6.6667,9.0909
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Biladu,South West,Osun,Ilesha East,Biladu,,105,0,4,17,12,26.25,6.1765,8.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bolorunduro,South West,Osun,Ilesha East,Bolorunduro,,121,0,4,19,14,30.25,6.3684,8.6429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ifosan/Oke-Eso,South West,Osun,Ilesha East,Ifosan/Oke-Eso,,89,0,4,14,10,22.25,6.3571,8.9
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ayeso,South West,Osun,Ilesha West,Ayeso,,104,0,4,17,12,26.0,6.1176,8.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ereja,South West,Osun,Ilesha West,Ereja,,132,0,8,19,14,16.5,6.9474,9.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ikoyi / Ikoti Araromi,South West,Osun,Ilesha West,Ikoyi / Ikoti Araromi,,57,0,4,10,7,14.25,5.7,8.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Alagba,South West,Osun,Osogbo,Alagba,,68,0,4,12,9,17.0,5.6667,7.5556
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Are-Ago,South West,Osun,Osogbo,Are-Ago,,114,0,4,16,11,28.5,7.125,10.3636
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ataoja  'A',South West,Osun,Osogbo,Ataoja  'A',,91,0,4,15,10,22.75,6.0667,9.1
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Abogunde/Sagba,South West,Osun,Ede North,Abogunde/Sagba,,76,0,4,12,9,19.0,6.3333,8.4444
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Alusekere,South West,Osun,Ede North,Alusekere,,90,0,4,14,10,22.5,6.4286,9.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Apaso,South West,Osun,Ede North,Apaso,,47,0,4,9,7,11.75,5.2222,6.7143
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Akarabata,South West,Osun,Ife Central,Akarabata,,71,0,4,12,9,17.75,5.9167,7.8889
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ilare I,South West,Osun,Ife Central,Ilare I,,83,0,4,13,9,20.75,6.3846,9.2222
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ilare II,South West,Osun,Ife Central,Ilare II,,78,0,4,12,9,19.5,6.5,8.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Biladu,South West,Osun,Ilesha East,Biladu,,82,0,4,14,10,20.5,5.8571,8.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bolorunduro,South West,Osun,Ilesha East,Bolorunduro,,94,0,4,14,10,23.5,6.7143,9.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ifosan/Oke-Eso,South West,Osun,Ilesha East,Ifosan/Oke-Eso,,69,0,4,12,9,17.25,5.75,7.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ayeso,South West,Osun,Ilesha West,Ayeso,,80,0,4,14,10,20.0,5.7143,8.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ereja,South West,Osun,Ilesha West,Ereja,,103,0,4,16,11,25.75,6.4375,9.3636
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ikoyi / Ikoti Araromi,South West,Osun,Ilesha West,Ikoyi / Ikoti Araromi,,45,0,4,9,7,11.25,5.0,6.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Alagba,South West,Osun,Osogbo,Alagba,,52,0,4,9,7,13.0,5.7778,7.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Are-Ago,South West,Osun,Osogbo,Are-Ago,,88,0,4,13,9,22.0,6.7692,9.7778
