session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Alim-Gora,North East,Taraba,Ardo-Kola,Alim-Gora,,120,0,4,12,5,30.0,10.0,24.0,14.56,11.52,0.59,0.75,2.26,1.49,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ardo Kola,North East,Taraba,Ardo-Kola,Ardo Kola,,85,0,4,9,3,21.25,9.4444,28.3333,14.33,8.64,0.56,0.64,2.24,1.48,1.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Iware,North East,Taraba,Ardo-Kola,Iware,,89,0,4,9,3,22.25,9.8889,29.6667,14.27,8.64,0.56,0.61,2.23,1.47,1.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Akate,North East,Taraba,Donga,Akate,,77,0,4,9,3,19.25,8.5556,25.6667,14.46,8.64,0.58,0.7,2.25,1.49,1.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Asibiti,North East,Taraba,Donga,Asibiti,,70,0,4,7,2,17.5,10.0,35.0,14.03,6.69,0.53,0.51,2.21,1.46,1.48
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bikadarko,North East,Taraba,Donga,Bikadarko,,125,0,4,12,5,31.25,10.4167,25.0,14.5,11.52,0.58,0.72,2.25,1.49,1.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Abbare Yelwa,North East,Taraba,Jalingo,Abbare Yelwa,,117,0,4,12,5,29.25,9.75,23.4,14.59,11.52,0.6,0.77,2.26,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Barade,North East,Taraba,Jalingo,Barade,,54,0,4,7,2,13.5,7.7143,27.0,14.39,6.72,0.57,0.67,2.24,1.48,1.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Kachalla Sembe,North East,Taraba,Jalingo,Kachalla Sembe,,105,0,4,10,3,26.25,10.5,35.0,14.08,9.6,0.53,0.51,2.22,1.46,1.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gembu 'A',North East,Taraba,Sardauna,Gembu 'A',,100,0,4,10,3,25.0,10.0,33.3333,14.14,9.6,0.54,0.54,2.22,1.46,1.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gembu 'B',North East,Taraba,Sardauna,Gembu 'B',,65,0,4,7,2,16.25,9.2857,32.5,14.16,6.72,0.54,0.55,2.22,1.47,1.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Kabri,North East,Taraba,Sardauna,Kabri,,141,0,8,12,4,17.625,11.75,35.25,12.1,9.78,0.99,1.02,3.89,2.52,2.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Akwana,North East,Taraba,Wukari,Akwana,,113,0,4,11,4,28.25,10.2727,28.25,14.33,10.56,0.56,0.64,2.24,1.48,1.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Avyi,North East,Taraba,Wukari,Avyi,,74,0,4,7,2,18.5,10.5714,37.0,13.37,6.38,0.52,0.49,2.12,1.39,1.42
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bantaje,North East,Taraba,Wukari,Bantaje,,115,0,4,12,5,28.75,9.5833,23.0,14.62,11.52,0.6,0.78,2.27,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Alim-Gora,North East,Taraba,Ardo-Kola,Alim-Gora,,93,0,4,9,3,23.25,10.3333,31.0,14.22,8.64,0.55,0.58,2.23,1.47,1.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ardo Kola,North East,Taraba,Ardo-Kola,Ardo Kola,,65,0,4,7,2,16.25,9.2857,32.5,14.16,6.72,0.54,0.55,2.22,1.47,1.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Iware,North East,Taraba,Ardo-Kola,Iware,,68,0,4,7,2,17.0,9.7143,34.0,14.11,6.72,0.54,0.53,2.22,1.46,1.49
