session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bingi North,North West,Zamfara,Bungudu,Bingi North,,119,0,4,12,8,29.75,9.9167,14.875
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bingi South,North West,Zamfara,Bungudu,Bingi South,,116,0,4,12,8,29.0,9.6667,14.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bungudu,North West,Zamfara,Bungudu,Bungudu,,73,0,4,9,6,18.25,8.1111,12.1667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Galadima,North West,Zamfara,Gusau,Galadima,,167,0,8,16,11,20.875,10.4375,15.1818
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Mada,North West,Zamfara,Gusau,Mada,,118,0,4,12,8,29.5,9.8333,14.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Madawaki,North West,Zamfara,Gusau,Madawaki,,99,0,4,11,7,24.75,9.0,14.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Banga,North West,Zamfara,Kaura Namoda,Banga,,76,0,4,9,6,19.0,8.4444,12.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dan-Isa,North West,Zamfara,Kaura Namoda,Dan-Isa,,142,0,8,15,10,17.75,9.4667,14.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gabake,North West,Zamfara,Kaura Namoda,Gabake,,80,0,4,9,6,20.0,8.8889,13.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bindin,North West,Zamfara,Maru,Bindin,,119,0,4,12,8,29.75,9.9167,14.875
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bingin,North West,Zamfara,Maru,Bingin,,141,0,8,14,9,17.625,10.0714,15.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dan Gulbi,North West,Zamfara,Maru,Dan Gulbi,,75,0,4,9,6,18.75,8.3333,12.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Garbadu,North West,Zamfara,Talata Mafara,Garbadu,,110,0,4,12,8,27.5,9.1667,13.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gwaram,North West,Zamfara,Talata Mafara,Gwaram,,115,0,4,11,7,28.75,10.4545,16.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Jangebe,North West,Zamfara,Talata Mafara,Jangebe,,109,0,4,11,7,27.25,9.9091,15.5714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bingi North,North West,Zamfara,Bungudu,Bingi North,,93,0,4,10,7,23.25,9.3,13.2857
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bingi South,North West,Zamfara,Bungudu,Bingi South,,89,0,4,10,7,22.25,8.9,12.7143
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bungudu,North West,Zamfara,Bungudu,Bungudu,,57,0,4,7,5,14.25,8.1429,11.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Galadima,North West,Zamfara,Gusau,Galadima,,130,0,8,13,9,16.25,10.0,14.4444
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Mada,North West,Zamfara,Gusau,Mada,,92,0,4,9,6,23.0,10.2222,15.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Madawaki,North West,Zamfara,Gusau,Madawaki,,77,0,4,9,6,19.25,8.5556,12.8333
