session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,1324,925,907,317,354,296,69.864,34.9504,111.6719,83.6158
2019/2020,Female,all,NABTEB,lga,Bida,North Central,Niger,Bida,,,1174,818,807,285,299,280,69.6763,35.316,104.9123,93.6455
2019/2020,Female,all,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,1299,905,884,311,315,289,69.669,35.181,101.2862,91.746
2019/2020,Female,all,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,1106,769,763,271,252,232,69.5298,35.5177,92.9889,92.0635
2019/2020,Female,all,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,1252,873,842,297,348,296,69.7284,35.2732,117.1717,85.0575
2019/2020,Female,all,NECO,lga,Agaie,North Central,Niger,Agaie,,,2426,1534,1669,587,534,470,63.2317,35.1708,90.971,88.015
2019/2020,Female,all,NECO,lga,Bida,North Central,Niger,Bida,,,2271,1437,1560,549,526,462,63.2761,35.1923,95.8106,87.8327
2019/2020,Female,all,NECO,lga,Chanchaga,North Central,Niger,Chanchaga,,,2342,1479,1618,569,532,461,63.1512,35.1669,93.4974,86.6541
2019/2020,Female,all,NECO,lga,Kontagora,North Central,Niger,Kontagora,,,2113,1335,1427,500,463,399,63.1803,35.0385,92.6,86.1771
2019/2020,Female,all,NECO,lga,Suleja,North Central,Niger,Suleja,,,2348,1482,1578,551,539,478,63.1175,34.9176,97.8221,88.6827
2019/2020,Female,all,WAEC,lga,Agaie,North Central,Niger,Agaie,,,3235,2222,2186,767,776,690,68.6862,35.0869,101.1734,88.9175
2019/2020,Female,all,WAEC,lga,Bida,North Central,Niger,Bida,,,2880,1978,1990,697,736,650,68.6806,35.0251,105.5954,88.3152
2019/2020,Female,all,WAEC,lga,Chanchaga,North Central,Niger,Chanchaga,,,3022,2076,2071,725,772,703,68.6962,35.0072,106.4828,91.0622
2019/2020,Female,all,WAEC,lga,Kontagora,North Central,Niger,Kontagora,,,2705,1858,1827,641,652,598,68.6876,35.0848,101.7161,91.7178
2019/2020,Female,all,WAEC,lga,Suleja,North Central,Niger,Suleja,,,2897,1989,1990,696,720,650,68.6572,34.9749,103.4483,90.2778
2019/2020,Female,disabled,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,169,114,107,38,47,48,67.4556,35.514,123.6842,102.1277
2019/2020,Female,disabled,NABTEB,lga,Bida,North Central,Niger,Bida,,,151,101,96,34,64,64,66.8874,35.4167,188.2353,100.0
2019/2020,Female,disabled,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,149,100,96,36,48,48,67.1141,37.5,133.3333,100.0
2019/2020,Female,disabled,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,151,101,99,37,16,16,66.8874,37.3737,43.2432,100.0
2019/2020,Female,disabled,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,163,110,103,37,56,56,67.4847,35.9223,151.3514,100.0
2019/2020,Female,disabled,NECO,lga,Agaie,North Central,Niger,Agaie,,,282,180,182,65,51,60,63.8298,35.7143,78.4615,117.6471
2019/2020,Female,disabled,NECO,lga,Bida,North Central,Niger,Bida,,,235,150,149,54,61,66,63.8298,36.2416,112.963,108.1967
2019/2020,Female,disabled,NECO,lga,Chanchaga,North Central,Niger,Chanchaga,,,254,162,164,59,50,54,63.7795,35.9756,84.7458,108.0
2019/2020,Female,disabled,NECO,lga,Kontagora,North Central,Niger,Kontagora,,,226,144,150,54,66,66,63.7168,36.0,122.2222,100.0
2019/2020,Female,disabled,NECO,lga,Suleja,North Central,Niger,Suleja,,,266,169,164,57,68,72,63.5338,34.7561,119.2982,105.8824
2019/2020,Female,disabled,WAEC,lga,Agaie,North Central,Niger,Agaie,,,371,255,236,82,65,67,68.7332,34.7458,79.2683,103.0769
2019/2020,Female,disabled,WAEC,lga,Bida,North Central,Niger,Bida,,,300,206,193,65,60,60,68.6667,33.6788,92.3077,100.0
2019/2020,Female,disabled,WAEC,lga,Chanchaga,North Central,Niger,Chanchaga,,,326,224,206,70,70,78,68.7117,33.9806,100.0,111.4286
2019/2020,Female,disabled,WAEC,lga,Kontagora,North Central,Niger,Kontagora,,,280,192,172,58,55,60,68.5714,33.7209,94.8276,109.0909
2019/2020,Female,disabled,WAEC,lga,Suleja,North Central,Niger,Suleja,,,336,231,215,73,65,68,68.75,33.9535,89.0411,104.6154
2019/2020,Male,all,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,1352,948,983,349,331,288,70.1183,35.5036,94.8424,87.0091
2019/2020,Male,all,NABTEB,lga,Bida,North Central,Niger,Bida,,,1241,866,898,318,305,280,69.7824,35.412,95.9119,91.8033
2019/2020,Male,all,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,1243,870,915,325,393,352,69.992,35.5191,120.9231,89.5674
