session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,all,NABTEB,118,85,74,27,27,24,72.0339,36.4865,100.0,88.8889
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,all,NECO,204,132,140,50,53,47,64.7059,35.7143,106.0,88.6792
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,all,WAEC,251,178,171,62,61,54,70.9163,36.2573,98.3871,88.5246
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,disabled,NABTEB,11,8,7,3,5,6,72.7273,42.8571,166.6667,120.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,disabled,NECO,19,12,12,4,5,5,63.1579,33.3333,125.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,disabled,WAEC,27,19,16,6,4,4,70.3704,37.5,66.6667,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,all,NABTEB,122,88,85,31,34,30,72.1311,36.4706,109.6774,88.2353
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,all,NECO,219,143,160,58,57,50,65.2968,36.25,98.2759,87.7193
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,all,WAEC,275,195,196,71,77,69,70.9091,36.2245,108.4507,89.6104
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,disabled,NABTEB,11,8,7,3,0,0,72.7273,42.8571,0.0,0.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,disabled,NECO,21,14,16,6,6,6,66.6667,37.5,100.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,disabled,WAEC,24,17,17,6,5,5,70.8333,35.2941,83.3333,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,all,NABTEB,55,40,37,14,17,18,72.7273,37.8378,121.4286,105.8824
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,all,NECO,109,71,76,27,34,31,65.1376,35.5263,125.9259,91.1765
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,all,WAEC,139,98,95,34,35,31,70.5036,35.7895,102.9412,88.5714
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,disabled,NABTEB,12,9,7,3,6,6,75.0,42.8571,200.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,disabled,NECO,12,8,9,3,5,5,66.6667,33.3333,166.6667,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,disabled,WAEC,12,8,8,3,4,4,66.6667,37.5,133.3333,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Male,all,NABTEB,60,43,42,16,14,15,71.6667,38.0952,87.5,107.1429
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Male,all,NECO,116,76,78,28,34,31,65.5172,35.8974,121.4286,91.1765
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Male,all,WAEC,136,96,100,36,46,42,70.5882,36.0,127.7778,91.3043
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Male,disabled,NABTEB,11,8,7,3,0,0,72.7273,42.8571,0.0,0.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Male,disabled,NECO,12,8,6,2,6,6,66.6667,33.3333,300.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Male,disabled,WAEC,12,8,9,3,5,5,66.6667,33.3333,166.6667,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Female,all,NABTEB,104,75,67,25,22,18,72.1154,37.3134,88.0,81.8182
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Female,all,NECO,208,135,136,49,39,32,64.9038,36.0294,79.5918,82.0513
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Female,all,WAEC,263,186,171,62,52,45,70.7224,36.2573,83.871,86.5385
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Female,disabled,NABTEB,11,8,7,3,0,0,72.7273,42.8571,0.0,0.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Female,disabled,NECO,19,12,12,4,0,0,63.1579,33.3333,0.0,0.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Female,disabled,WAEC,21,15,11,4,4,4,71.4286,36.3636,100.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Male,all,NABTEB,102,74,71,26,14,15,72.549,36.6197,53.8462,107.1429
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Male,all,NECO,192,125,122,44,34,31,65.1042,36.0656,77.2727,91.1765
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Male,all,WAEC,249,176,162,59,56,48,70.6827,36.4198,94.9153,85.7143
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Male,disabled,NABTEB,11,8,7,3,0,0,72.7273,42.8571,0.0,0.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Male,disabled,NECO,15,10,9,3,6,6,66.6667,33.3333,200.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu",Male,disabled,WAEC,24,17,14,5,5,5,70.8333,35.7143,100.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Female,all,NABTEB,113,82,77,28,27,24,72.5664,36.3636,96.4286,88.8889
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Female,all,NECO,201,130,130,47,48,42,64.6766,36.1538,102.1277,87.5
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Female,all,WAEC,269,190,165,60,61,49,70.632,36.3636,101.6667,80.3279
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Female,disabled,NABTEB,12,9,7,3,5,6,75.0,42.8571,166.6667,120.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Female,disabled,NECO,19,12,12,4,5,5,63.1579,33.3333,125.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Female,disabled,WAEC,27,19,16,6,4,4,70.3704,37.5,66.6667,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Male,all,NABTEB,134,97,92,34,34,30,72.3881,36.9565,100.0,88.2353
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Male,all,NECO,243,158,167,61,57,49,65.0206,36.5269,93.4426,85.9649
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Male,all,WAEC,313,222,213,77,72,64,70.9265,36.1502,93.5065,88.8889
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Male,disabled,NABTEB,11,8,7,3,0,0,72.7273,42.8571,0.0,0.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Male,disabled,NECO,21,14,16,6,6,6,66.6667,37.5,100.0,100.0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Unity College, Oshimili North",Male,disabled,WAEC,32,23,20,7,5,5,71.875,35.0,71.4286,100.0
2019/2020,South South,Delta,Oshimili North,Ebu,"Community Secondary School, Ebu",Female,all,NABTEB,64,47,44,16,23,18,73.4375,36.3636,143.75,78.2609
2019/2020,South South,Delta,Oshimili North,Ebu,"Community Secondary School, Ebu",Female,all,NECO,103,67,76,27,29,26,65.0485,35.5263,107.4074,89.6552
2019/2020,South South,Delta,Oshimili North,Ebu,"Community Secondary School, Ebu",Female,all,WAEC,145,102,100,36,43,37,70.3448,36.0,119.4444,86.0465
2019/2020,South South,Delta,Oshimili North,Ebu,"Community Secondary School, Ebu",Female,disabled,NABTEB,12,9,7,3,6,6,75.0,42.8571,200.0,100.0
2019/2020,South South,Delta,Oshimili North,Ebu,"Community Secondary School, Ebu",Female,disabled,NECO,12,8,9,3,5,5,66.6667,33.3333,166.6667,100.0
2019/2020,South South,Delta,Oshimili North,Ebu,"Community Secondary School, Ebu",Female,disabled,WAEC,12,8,8,3,4,5,66.6667,37.5,133.3333,125.0
2019/2020,South South,Delta,Oshimili North,Ebu,"Community Secondary School, Ebu",Male,all,NABTEB,62,45,42,16,21,22,72.5806,38.0952,131.25,104.7619
2019/2020,South South,Delta,Oshimili North,Ebu,"Community Secondary School, Ebu",Male,all,NECO,100,65,75,27,34,31,65.0,36.0,125.9259,91.1765
