session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,all,NABTEB,88,61,54,18,25,20,69.3182,33.3333,138.8889,80.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,all,NECO,175,109,109,37,44,41,62.2857,33.945,118.9189,93.1818
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,all,WAEC,206,140,128,43,49,44,67.9612,33.5938,113.9535,89.7959
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,disabled,NABTEB,13,9,7,2,6,7,69.2308,28.5714,300.0,116.6667
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,disabled,NECO,23,14,12,4,5,5,60.8696,33.3333,125.0,100.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,disabled,WAEC,32,22,19,6,4,5,68.75,31.5789,66.6667,125.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,all,NABTEB,104,72,65,21,39,33,69.2308,32.3077,185.7143,84.6154
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,all,NECO,189,118,121,41,51,47,62.4339,33.8843,124.3902,92.1569
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,all,WAEC,231,157,141,47,61,55,67.9654,33.3333,129.7872,90.1639
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,disabled,NABTEB,15,10,10,3,8,8,66.6667,30.0,266.6667,100.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,disabled,NECO,26,16,15,5,6,6,61.5385,33.3333,120.0,100.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,disabled,WAEC,31,21,19,6,5,5,67.7419,31.5789,83.3333,100.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,all,NABTEB,88,61,54,18,25,27,69.3182,33.3333,138.8889,108.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,all,NECO,163,102,103,35,34,30,62.5767,33.9806,97.1429,88.2353
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,all,WAEC,193,131,120,41,50,44,67.8756,34.1667,121.9512,88.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,disabled,NABTEB,13,9,7,2,6,7,69.2308,28.5714,300.0,116.6667
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,disabled,NECO,17,11,9,3,5,5,64.7059,33.3333,166.6667,100.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,disabled,WAEC,19,13,11,4,5,5,68.4211,36.3636,125.0,100.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,all,NABTEB,89,61,58,19,23,24,68.5393,32.7586,121.0526,104.3478
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,all,NECO,192,120,121,41,46,41,62.5,33.8843,112.1951,89.1304
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,all,WAEC,196,133,131,44,45,45,67.8571,33.5878,102.2727,100.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,disabled,NABTEB,12,8,7,2,8,8,66.6667,28.5714,400.0,100.0
2019/2020,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,disabled,NECO,19,12,12,4,6,6,63.1579,33.3333,150.0,100.0
