session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,NABTEB,164,110,100,34,29,21,67.0732,34.0,85.2941,72.4138
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,NECO,312,187,181,61,56,51,59.9359,33.7017,91.8033,91.0714
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,WAEC,446,291,265,89,87,81,65.2466,33.5849,97.7528,93.1034
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,NABTEB,16,11,9,3,0,0,68.75,33.3333,0.0,0.0
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,NECO,30,18,15,5,7,7,60.0,33.3333,140.0,100.0
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,WAEC,46,30,25,8,6,7,65.2174,32.0,75.0,116.6667
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,NABTEB,170,114,96,33,22,23,67.0588,34.375,66.6667,104.5455
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,NECO,320,192,201,68,51,44,60.0,33.8308,75.0,86.2745
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,WAEC,435,285,271,92,70,61,65.5172,33.9483,76.087,87.1429
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,disabled,NABTEB,16,11,9,3,0,0,68.75,33.3333,0.0,0.0
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,disabled,NECO,34,20,21,7,0,0,58.8235,33.3333,0.0,0.0
