session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,ward,Ward I N2,South West,Oyo,Ibadan North,Ward I N2,,480,320,286,96,97,88,66.6667,33.5664,101.0417,90.7216
2019/2020,Female,all,NABTEB,ward,"Ward II, N3",South West,Oyo,Ibadan North,"Ward II, N3",,414,275,238,80,93,88,66.4251,33.6134,116.25,94.6237
2019/2020,Female,all,NABTEB,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,441,293,255,85,87,82,66.4399,33.3333,102.3529,94.2529
2019/2020,Female,all,NABTEB,ward,Ward 08 SW7,South West,Oyo,Ibadan South,Ward 08 SW7,,362,241,215,73,88,84,66.5746,33.9535,120.5479,95.4545
2019/2020,Female,all,NABTEB,ward,Ward 10 SW8 II,South West,Oyo,Ibadan South,Ward 10 SW8 II,,380,252,221,75,93,91,66.3158,33.9367,124.0,97.8495
2019/2020,Female,all,NABTEB,ward,Ward 11 SW9(1),South West,Oyo,Ibadan South,Ward 11 SW9(1),,437,291,256,86,104,97,66.5904,33.5938,120.9302,93.2692
2019/2020,Female,all,NABTEB,ward,Aaje/Ogunbado,South West,Oyo,Ogbomosho North,Aaje/Ogunbado,,410,273,233,79,72,68,66.5854,33.9056,91.1392,94.4444
2019/2020,Female,all,NABTEB,ward,Abogunde,South West,Oyo,Ogbomosho North,Abogunde,,454,302,268,91,93,84,66.5198,33.9552,102.1978,90.3226
2019/2020,Female,all,NABTEB,ward,Aguodo/ Masifa,South West,Oyo,Ogbomosho North,Aguodo/ Masifa,,528,351,298,101,109,93,66.4773,33.8926,107.9208,85.3211
2019/2020,Female,all,NABTEB,ward,Agboye/Molete,South West,Oyo,Oyo East,Agboye/Molete,,481,320,275,93,87,76,66.5281,33.8182,93.5484,87.3563
2019/2020,Female,all,NABTEB,ward,Ajagba,South West,Oyo,Oyo East,Ajagba,,399,265,228,76,87,76,66.416,33.3333,114.4737,87.3563
2019/2020,Female,all,NABTEB,ward,Alaodi/Modeke,South West,Oyo,Oyo East,Alaodi/Modeke,,497,331,285,97,98,88,66.5996,34.0351,101.0309,89.7959
2019/2020,Female,all,NABTEB,ward,Agbonle,South West,Oyo,Saki East,Agbonle,,385,256,230,78,81,81,66.4935,33.913,103.8462,100.0
2019/2020,Female,all,NABTEB,ward,Ago Amodu I,South West,Oyo,Saki East,Ago Amodu I,,411,274,251,84,97,93,66.6667,33.4661,115.4762,95.8763
2019/2020,Female,all,NABTEB,ward,Ago Amodu II,South West,Oyo,Saki East,Ago Amodu II,,474,315,284,96,103,94,66.4557,33.8028,107.2917,91.2621
2019/2020,Female,all,NECO,ward,Ward I N2,South West,Oyo,Ibadan North,Ward I N2,,806,481,470,159,165,141,59.6774,33.8298,103.7736,85.4545
2019/2020,Female,all,NECO,ward,"Ward II, N3",South West,Oyo,Ibadan North,"Ward II, N3",,756,453,428,145,155,140,59.9206,33.8785,106.8966,90.3226
