session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Gumel,North West,Jigawa,Gumel,,,13.0,1,13.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Guri,North West,Jigawa,Guri,,,54.0,3,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Gwaram,North West,Jigawa,Gwaram,,,42.0,3,14.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Hadejia,North West,Jigawa,Hadejia,,,42.0,2,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Jahun,North West,Jigawa,Jahun,,,63.0,4,15.75
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Kafin-Hausa,North West,Jigawa,Kafin-Hausa,,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Gumel,North West,Jigawa,Gumel,,,12.0,1,12.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Guri,North West,Jigawa,Guri,,,88.0,5,17.6
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Gwaram,North West,Jigawa,Gwaram,,,80.0,5,16.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Gwiwa,North West,Jigawa,Gwiwa,,,93.0,5,18.6
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Hadejia,North West,Jigawa,Hadejia,,,88.0,4,22.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Jahun,North West,Jigawa,Jahun,,,66.0,4,16.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Gumel,North West,Jigawa,Gumel,,,13.0,1,13.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Guri,North West,Jigawa,Guri,,,88.0,4,22.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Gwaram,North West,Jigawa,Gwaram,,,130.0,7,18.5714
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Gwiwa,North West,Jigawa,Gwiwa,,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Hadejia,North West,Jigawa,Hadejia,,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Jahun,North West,Jigawa,Jahun,,,62.0,4,15.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Kafin-Hausa,North West,Jigawa,Kafin-Hausa,,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Guri,North West,Jigawa,Guri,,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Gwiwa,North West,Jigawa,Gwiwa,,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Jahun,North West,Jigawa,Jahun,,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Kafin-Hausa,North West,Jigawa,Kafin-Hausa,,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Gumel,North West,Jigawa,Gumel,,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Guri,North West,Jigawa,Guri,,,54.0,3,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Gwaram,North West,Jigawa,Gwaram,,,202.0,12,16.8333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Gwiwa,North West,Jigawa,Gwiwa,,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Hadejia,North West,Jigawa,Hadejia,,,42.0,3,14.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Jahun,North West,Jigawa,Jahun,,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Kafin-Hausa,North West,Jigawa,Kafin-Hausa,,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Gumel,North West,Jigawa,Gumel,,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Guri,North West,Jigawa,Guri,,,29.0,2,14.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Gwaram,North West,Jigawa,Gwaram,,,24.0,2,12.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Gwiwa,North West,Jigawa,Gwiwa,,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Hadejia,North West,Jigawa,Hadejia,,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Jahun,North West,Jigawa,Jahun,,,55.0,3,18.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Kafin-Hausa,North West,Jigawa,Kafin-Hausa,,,62.0,4,15.5
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Auyo,North West,Jigawa,Auyo,,,334.0,7,47.7143
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Birniwa,North West,Jigawa,Birniwa,,,361.0,8,45.125
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Gwaram,North West,Jigawa,Gwaram,,,405.0,9,45.0
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Kafin-Hausa,North West,Jigawa,Kafin-Hausa,,,748.0,15,49.8667
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Kaugawa,North West,Jigawa,Kaugawa,,,299.0,6,49.8333
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Kiyawa,North West,Jigawa,Kiyawa,,,282.0,6,47.0
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Roni,North West,Jigawa,Roni,,,352.0,7,50.2857
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Sule-Tankarkar,North West,Jigawa,Sule-Tankarkar,,,475.0,10,47.5
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Dutse,North West,Jigawa,Dutse,,,273.0,6,45.5
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Garki,North West,Jigawa,Garki,,,519.0,11,47.1818
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Hadejia,North West,Jigawa,Hadejia,,,97.0,2,48.5
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Kaugawa,North West,Jigawa,Kaugawa,,,264.0,6,44.0
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Kazaure,North West,Jigawa,Kazaure,,,396.0,8,49.5
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Kirikasamma,North West,Jigawa,Kirikasamma,,,123.0,3,41.0
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Kiyawa,North West,Jigawa,Kiyawa,,,238.0,5,47.6
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Sule-Tankarkar,North West,Jigawa,Sule-Tankarkar,,,194.0,4,48.5
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Babura,North West,Jigawa,Babura,,,282.0,6,47.0
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Birnin-Kudu,North West,Jigawa,Birnin-Kudu,,,396.0,8,49.5
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Gwaram,North West,Jigawa,Gwaram,,,123.0,3,41.0
