session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,Public,JSS,,,Unqualified,223.0,5,all,44.6
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,Public,JSS,,Grade II or Equivalent,Unqualified,287.0,6,all,47.8333
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,Public,JSS,,NCE,Qualified,308.0,7,all,44.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,Public,SSS,,BEd or Equivalent,Qualified,270.0,6,all,45.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,Public,SSS,,Grade II or Equivalent,Unqualified,172.0,4,all,43.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,Public,SSS,,MEd or Equivalent,Qualified,81.0,2,all,40.5
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,Public,JSS,,Grade II or Equivalent,Unqualified,288.0,6,all,48.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,Public,JSS,,MEd or Equivalent,Qualified,96.0,2,all,48.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,Public,JSS,,PGDE,Qualified,395.0,9,all,43.8889
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,Public,SSS,,BEd or Equivalent,Qualified,180.0,4,all,45.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,Public,SSS,,NCE,Qualified,170.0,4,all,42.5
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,Public,SSS,,PGDE,Qualified,180.0,4,all,45.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Adult & Non-Formal Education,,,Unqualified,56.0,3,all,18.6667
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,56.0,3,all,18.6667
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,48.0,3,all,16.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,16.0,1,all,16.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,JSS,,BEd or Equivalent,Qualified,244.0,5,all,48.8
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,JSS,,Grade II or Equivalent,Unqualified,117.0,3,all,39.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,JSS,,NCE,Qualified,191.0,4,all,47.75
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,,,Unqualified,1211.0,30,all,40.3667
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,681.0,17,all,40.0588
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,530.0,13,all,40.7692
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,Primary 1,,Unqualified,870.0,22,all,39.5455
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,870.0,22,all,39.5455
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,Primary 3,NCE,Qualified,795.0,20,all,39.75
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,832.0,21,all,39.619
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,832.0,21,all,39.619
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,719.0,18,all,39.9444
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,SSS,,BEd or Equivalent,Qualified,90.0,2,all,45.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,SSS,,Grade II or Equivalent,Unqualified,126.0,3,all,42.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,SSS,,NCE,Qualified,144.0,3,all,48.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,Private,SSS,,PGDE,Qualified,63.0,1,all,63.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,26.0,1,all,26.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,117.0,5,all,23.4
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,52.0,2,all,26.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,39.0,2,all,19.5
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,JSS,,,Unqualified,160.0,3,all,53.3333
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,JSS,,NCE,Qualified,309.0,7,all,44.1429
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,JSS,,PGDE,Qualified,64.0,1,all,64.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,533.0,13,all,41.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,,NCE,Qualified,1310.0,32,all,40.9375
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,,PGDE,Qualified,574.0,14,all,41.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,819.0,20,all,40.95
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,901.0,22,all,40.9545
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,Primary 3,PGDE,Qualified,860.0,21,all,40.9524
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,778.0,19,all,40.9474
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,860.0,21,all,40.9524
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,614.0,15,all,40.9333
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,Private,SSS,,PGDE,Qualified,410.0,9,all,45.5556
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,66.0,2,all,33.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,90.0,3,all,30.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,82.0,3,all,27.3333
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,66.0,2,all,33.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,41.0,1,all,41.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,JSS,,BEd or Equivalent,Qualified,542.0,12,all,45.1667
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,JSS,,NCE,Qualified,329.0,7,all,47.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,946.0,24,all,39.4167
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,1362.0,34,all,40.0588
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Pre-Primary/Primary,,MEd or Equivalent,Qualified,1286.0,32,all,40.1875
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,1249.0,31,all,40.2903
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,Public,Pre-Primary/Primary,Primary 2,PGDE,Qualified,1286.0,32,all,40.1875
