"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Female","all","NABTEB","Polytechnic","72","71","50","19","16","3","2.0","1","21","31","3"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Female","all","NECO","Polytechnic","132","130","94","41","38","3","2.0","2","36","54","3"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Female","all","WAEC","Polytechnic","139","137","93","35","29","6","2.0","2","44","59","6"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Female","disabled","NABTEB","Polytechnic","7","7","4","3","3","0","2.0","0","3","1","0"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Female","disabled","NECO","Polytechnic","10","10","6","3","3","0","2.0","0","4","2","0"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Female","disabled","WAEC","Polytechnic","13","13","8","4","4","0","2.0","0","5","5","0"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Male","all","NABTEB","Polytechnic","78","77","52","19","16","3","2.0","1","25","34","3"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Male","all","NECO","Polytechnic","142","140","94","32","29","3","2.0","2","46","63","3"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Male","all","WAEC","Polytechnic","179","176","120","45","40","5","2.0","3","56","76","5"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Male","disabled","NABTEB","Polytechnic","7","7","4","3","3","0","2.0","0","3","1","0"
"2019/2020","South South","Cross River","Abi","Adadama","Community Secondary School, Adadama","Male","disabled","NECO","Polytechnic","13","13","9","4","4","0","2.0","0","4","6","0"
