"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Female","all","NABTEB","Polytechnic","71","70","42","17","14","3","2.0","1","28","26","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Female","all","NECO","Polytechnic","146","144","85","33","31","2","2.0","2","59","53","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Female","all","WAEC","Polytechnic","188","185","114","49","45","4","2.0","3","71","65","4"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Female","disabled","NABTEB","Polytechnic","7","7","4","2","3","0","2.0","0","3","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Female","disabled","NECO","Polytechnic","15","15","8","4","4","0","2.0","0","7","4","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Female","disabled","WAEC","Polytechnic","20","20","11","3","3","0","2.0","0","9","9","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Male","all","NABTEB","Polytechnic","75","74","47","17","14","3","2.0","1","27","30","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Male","all","NECO","Polytechnic","161","159","101","37","31","6","2.0","2","58","64","6"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Male","all","WAEC","Polytechnic","192","189","120","43","39","4","2.0","3","69","78","4"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Male","disabled","NABTEB","Polytechnic","8","8","4","3","4","0","2.0","0","4","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Male","disabled","NECO","Polytechnic","18","18","10","4","4","0","2.0","0","8","7","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Community Secondary School, Abakpa","Male","disabled","WAEC","Polytechnic","20","20","11","3","3","0","2.0","0","9","9","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Female","all","NABTEB","University","61","60","36","10","11","0","1.8","1","24","26","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Female","all","NECO","University","107","105","59","22","19","3","1.8","2","46","38","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Female","all","WAEC","University","124","122","70","25","23","2","1.8","2","52","46","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Female","disabled","NABTEB","University","8","8","4","3","4","0","1.8","0","4","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Female","disabled","NECO","University","10","10","5","3","3","0","1.8","0","5","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Female","disabled","WAEC","University","13","13","7","3","3","0","1.8","0","6","5","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Male","all","NABTEB","University","71","70","40","14","11","3","1.8","1","30","27","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Male","all","NECO","University","146","144","81","22","19","3","1.8","2","63","60","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Male","all","WAEC","University","161","159","97","31","26","5","1.8","2","62","67","5"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Male","disabled","NABTEB","University","8","8","4","4","4","0","1.8","0","4","1","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Male","disabled","NECO","University","13","13","8","4","4","0","1.8","0","5","5","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Comprehensive High School, Abakpa","Male","disabled","WAEC","University","13","13","7","3","3","0","1.8","0","6","5","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Female","all","NABTEB","College of Education","47","46","30","10","11","0","2.1","1","16","21","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Female","all","NECO","College of Education","77","76","46","18","16","2","2.0","1","30","29","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Female","all","WAEC","College of Education","104","102","62","28","26","2","2.0","2","40","34","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Female","disabled","NABTEB","College of Education","8","8","4","3","4","0","2.1","0","4","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Female","disabled","NECO","College of Education","10","10","5","3","3","0","2.0","0","5","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Female","disabled","WAEC","College of Education","13","13","7","3","3","0","2.0","0","6","5","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Male","all","NABTEB","College of Education","45","44","25","10","11","0","2.1","1","19","16","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Male","all","NECO","College of Education","73","72","45","18","16","2","2.0","1","27","27","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Male","all","WAEC","College of Education","108","106","63","21","19","2","2.0","2","43","43","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Male","disabled","NABTEB","College of Education","8","8","4","3","4","0","2.1","0","4","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Male","disabled","NECO","College of Education","8","8","5","3","3","0","2.0","0","3","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Government Secondary School, Abakpa","Male","disabled","WAEC","College of Education","13","13","7","3","3","0","2.0","0","6","5","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Female","all","NABTEB","University","73","72","47","17","14","3","1.8","1","25","30","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Female","all","NECO","University","141","139","85","37","35","2","1.8","2","54","49","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Female","all","WAEC","University","169","166","103","40","35","5","1.8","3","63","64","5"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Female","disabled","NABTEB","University","7","7","4","3","3","0","1.8","0","3","1","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Female","disabled","NECO","University","13","13","8","4","4","0","1.8","0","5","5","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Female","disabled","WAEC","University","20","20","11","3","3","0","1.8","0","9","9","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Male","all","NABTEB","University","77","76","49","14","14","0","1.8","1","27","35","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Male","all","NECO","University","154","152","88","37","35","2","1.8","2","64","51","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Male","all","WAEC","University","174","171","102","37","32","5","1.8","3","69","65","5"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Male","disabled","NABTEB","University","7","7","4","3","3","0","1.8","0","3","1","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Male","disabled","NECO","University","15","15","8","4","4","0","1.8","0","7","4","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abakpa","Unity College, Abakaliki","Male","disabled","WAEC","University","19","19","11","3","3","0","1.8","0","8","8","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Female","all","NABTEB","College of Education","47","46","28","10","11","0","2.1","1","18","19","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Female","all","NECO","College of Education","78","77","47","18","15","3","2.0","1","30","29","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Female","all","WAEC","College of Education","116","114","70","25","23","2","2.0","2","44","45","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Female","disabled","NABTEB","College of Education","7","7","4","2","3","0","2.1","0","3","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Female","disabled","NECO","College of Education","8","8","5","3","3","0","2.0","0","3","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Female","disabled","WAEC","College of Education","13","13","7","3","3","0","2.0","0","6","5","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Male","all","NABTEB","College of Education","54","53","33","10","11","0","2.1","1","20","23","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Male","all","NECO","College of Education","88","87","54","18","16","2","2.0","1","33","36","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Male","all","WAEC","College of Education","119","117","72","25","23","2","2.0","2","45","48","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Male","disabled","NABTEB","College of Education","8","8","4","3","4","0","2.1","0","4","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Male","disabled","NECO","College of Education","8","8","5","3","3","0","2.0","0","3","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Community Secondary School, Abaomege","Male","disabled","WAEC","College of Education","15","15","9","3","3","0","2.0","0","6","7","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Female","all","NABTEB","University","94","93","54","14","11","3","1.8","1","39","41","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Female","all","NECO","University","234","231","130","41","35","6","1.8","3","101","90","6"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Female","all","WAEC","University","273","269","169","64","58","6","1.8","4","100","105","6"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Female","disabled","NABTEB","University","13","13","7","3","4","0","1.8","0","6","4","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Female","disabled","NECO","University","31","31","17","4","4","0","1.8","0","14","13","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Female","disabled","WAEC","University","37","36","20","6","6","0","1.8","1","16","15","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Male","all","NABTEB","University","92","91","55","14","14","0","1.8","1","36","41","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Male","all","NECO","University","202","199","115","41","35","6","1.8","3","84","75","6"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Male","all","WAEC","University","261","257","148","43","39","4","1.8","4","109","105","4"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Male","disabled","NABTEB","University","11","11","7","3","4","0","1.8","0","4","4","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Male","disabled","NECO","University","25","25","14","4","4","0","1.8","0","11","10","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Comprehensive High School, Abaomege","Male","disabled","WAEC","University","37","36","20","6","6","0","1.8","1","16","15","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Female","all","NABTEB","University","88","87","52","17","14","3","1.8","1","35","35","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Female","all","NECO","University","181","178","111","44","39","5","1.8","3","67","68","5"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Female","all","WAEC","University","196","193","116","46","39","7","1.8","3","77","70","7"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Female","disabled","NABTEB","University","13","13","7","3","4","0","1.8","0","6","4","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Female","disabled","NECO","University","21","21","12","4","4","0","1.8","0","9","9","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Female","disabled","WAEC","University","29","29","16","6","6","0","1.8","0","13","11","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Male","all","NABTEB","University","85","84","49","17","14","3","1.8","1","35","33","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Male","all","NECO","University","163","161","94","29","27","2","1.8","2","67","66","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Male","all","WAEC","University","202","199","121","40","35","5","1.8","3","78","81","5"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Male","disabled","NABTEB","University","12","12","6","3","4","0","1.8","0","6","4","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Male","disabled","NECO","University","23","23","12","4","4","0","1.8","0","11","9","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Government Secondary School, Abaomege","Male","disabled","WAEC","University","29","29","16","6","6","0","1.8","0","13","11","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Female","all","NABTEB","University","99","98","55","17","14","3","1.8","1","43","38","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Female","all","NECO","University","209","206","126","44","39","5","1.8","3","80","82","5"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Female","all","WAEC","University","256","252","143","52","45","7","1.8","4","109","92","7"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Female","disabled","NABTEB","University","11","11","5","3","4","0","1.8","0","6","2","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Female","disabled","NECO","University","21","21","10","4","4","0","1.8","0","10","7","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Female","disabled","WAEC","University","29","29","14","3","3","0","1.8","0","14","12","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Male","all","NABTEB","University","98","97","51","10","7","3","1.8","1","46","42","3"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Male","all","NECO","University","204","201","119","33","31","2","1.8","3","82","86","2"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Male","all","WAEC","University","261","257","146","46","42","4","1.8","4","111","100","4"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Male","disabled","NABTEB","University","10","10","5","0","0","0","1.8","0","5","5","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Male","disabled","NECO","University","23","23","12","4","4","0","1.8","0","11","9","0"
"2019/2020","South East","Ebonyi","Abakaliki","Abaomege","Unity College, Abakaliki","Male","disabled","WAEC","University","28","28","15","3","3","0","1.8","0","13","12","0"
