"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NABTEB","College of Education","86","85","47","14","10","4","2.1","1","38","33","4"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NECO","College of Education","169","166","97","31","28","3","2.0","3","69","66","3"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","WAEC","College of Education","230","227","134","43","36","7","2.0","3","93","92","7"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NABTEB","College of Education","10","10","5","0","0","0","2.1","0","5","5","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NECO","College of Education","20","20","10","0","0","0","2.0","0","10","10","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","WAEC","College of Education","25","25","13","4","4","0","2.0","0","12","10","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Male","all","NABTEB","College of Education","87","86","47","9","10","0","2.1","1","39","39","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Male","all","NECO","College of Education","193","190","111","37","33","4","2.0","3","79","74","4"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Male","all","WAEC","College of Education","237","233","129","39","36","3","2.0","4","104","91","3"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Male","disabled","NABTEB","College of Education","10","10","5","0","0","0","2.1","0","5","5","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Male","disabled","NECO","College of Education","23","23","13","4","5","0","2.0","0","10","9","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Male","disabled","WAEC","College of Education","27","27","15","4","4","0","2.0","0","12","12","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Female","all","NABTEB","College of Education","65","64","36","14","15","0","2.1","1","28","23","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Female","all","NECO","College of Education","120","118","65","23","19","4","2.0","2","53","43","4"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Female","all","WAEC","College of Education","170","167","92","27","24","3","2.0","3","75","66","3"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Female","disabled","NABTEB","College of Education","10","10","5","5","5","0","2.1","0","5","1","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Female","disabled","NECO","College of Education","14","14","7","4","5","0","2.0","0","7","4","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Female","disabled","WAEC","College of Education","22","22","11","4","4","0","2.0","0","11","8","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Male","all","NABTEB","College of Education","87","86","47","9","10","0","2.1","1","39","39","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Male","all","NECO","College of Education","150","148","79","18","14","4","2.0","2","69","61","4"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Male","all","WAEC","College of Education","193","190","101","31","28","3","2.0","3","89","71","3"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Male","disabled","NABTEB","College of Education","10","10","5","0","0","0","2.1","0","5","5","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Male","disabled","NECO","College of Education","20","20","10","0","0","0","2.0","0","10","10","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Comprehensive High School, Lafiagi I","Male","disabled","WAEC","College of Education","25","25","13","4","4","0","2.0","0","12","10","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Female","all","NABTEB","University","56","55","33","9","10","0","1.8","1","22","24","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Female","all","NECO","University","111","109","63","23","19","4","1.8","2","46","40","4"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Female","all","WAEC","University","166","164","92","35","32","3","1.8","2","72","58","3"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Female","disabled","NABTEB","University","10","10","5","0","0","0","1.8","0","5","5","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Female","disabled","NECO","University","14","14","7","4","5","0","1.8","0","7","4","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Female","disabled","WAEC","University","22","22","13","4","4","0","1.8","0","9","10","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Male","all","NABTEB","University","77","76","45","9","10","0","1.8","1","31","36","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Male","all","NECO","University","138","136","73","27","24","3","1.8","2","63","47","3"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Male","all","WAEC","University","189","186","113","39","36","3","1.8","3","73","74","3"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Government Secondary School, Lafiagi I","Male","disabled","NABTEB","University","10","10","5","0","0","0","1.8","0","5","5","0"
