"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","124","122","93","45","39","6","2","29","49","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Elega","South West","Ogun","Abeokuta North","Elega","","169","167","116","51","45","6","2","51","66","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ago-Egun/Ijesa","South West","Ogun","Abeokuta South","Ago-Egun/Ijesa","","302","298","219","71","65","6","4","79","149","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ake I","South West","Ogun","Abeokuta South","Ake I","","181","179","127","45","38","7","2","52","83","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","130","128","89","38","38","0","2","39","52","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ijade/Imepe I","South West","Ogun","Ijebu Ode","Ijade/Imepe I","","251","247","169","70","64","6","4","78","100","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","84","83","59","19","19","0","1","24","41","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ijasi/Idepo","South West","Ogun","Ijebu Ode","Ijasi/Idepo","","118","116","71","19","13","6","2","45","53","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Akaka","South West","Ogun","Remo North","Akaka","","251","247","184","77","65","12","4","63","108","12"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ayegbami","South West","Ogun","Remo North","Ayegbami","","124","122","90","32","26","6","2","32","59","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Igan/Ajina","South West","Ogun","Remo North","Igan/Ajina","","311","307","214","77","64","13","4","93","138","13"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abalabi","South West","Ogun","Sagamu","Abalabi","","172","170","124","45","39","6","2","46","80","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abigi","South West","Ogun","Sagamu","Abigi","","255","251","176","70","64","6","4","75","107","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","237","233","172","64","51","13","4","61","109","13"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Elega","South West","Ogun","Abeokuta North","Elega","","272","268","192","58","45","13","4","76","134","13"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gbagura","South West","Ogun","Abeokuta North","Gbagura","","148","146","112","45","38","7","2","34","68","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ake I","South West","Ogun","Abeokuta South","Ake I","","145","143","97","38","38","0","2","46","60","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","93","92","63","19","13","6","1","29","45","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ijade/Imepe I","South West","Ogun","Ijebu Ode","Ijade/Imepe I","","75","74","56","26","19","7","1","18","31","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","176","173","131","51","45","6","3","42","81","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ijasi/Idepo","South West","Ogun","Ijebu Ode","Ijasi/Idepo","","75","74","56","26","19","7","1","18","31","7"
