session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Mubi North,North East,Adamawa,Mubi North,,,0,175,119,42,44,0,0,56,77,0
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Numan,North East,Adamawa,Numan,,,0,229,151,61,55,10,0,78,90,10
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Yola North,North East,Adamawa,Yola North,,,0,209,141,66,66,0,0,68,75,0
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Yola South,North East,Adamawa,Yola South,,,0,164,113,52,43,10,0,51,61,10
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Mubi North,North East,Adamawa,Mubi North,,,0,69,43,21,22,0,0,26,22,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Numan,North East,Adamawa,Numan,,,0,86,54,20,22,0,0,32,34,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Yola North,North East,Adamawa,Yola North,,,0,465,324,117,120,0,0,141,207,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Yola South,North East,Adamawa,Yola South,,,0,114,83,43,44,0,0,31,40,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Mubi North,North East,Adamawa,Mubi North,,,0,222,156,73,76,0,0,66,83,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Numan,North East,Adamawa,Numan,,,0,212,140,50,55,0,0,72,90,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Yola North,North East,Adamawa,Yola North,,,0,301,206,96,88,10,0,95,110,9
2019/2020,Female,all,NABTEB,1-year,University,lga,Yola South,North East,Adamawa,Yola South,,,0,170,123,52,43,11,0,47,71,11
2019/2020,Female,all,NABTEB,2-year,College of Education,lga,Mubi North,North East,Adamawa,Mubi North,,,0,111,76,42,44,0,0,35,34,0
2019/2020,Female,all,NABTEB,2-year,College of Education,lga,Numan,North East,Adamawa,Numan,,,0,147,99,41,44,0,0,48,58,0
2019/2020,Female,all,NABTEB,2-year,College of Education,lga,Yola North,North East,Adamawa,Yola North,,,0,136,90,44,44,0,0,46,46,0
2019/2020,Female,all,NABTEB,2-year,College of Education,lga,Yola South,North East,Adamawa,Yola South,,,0,105,71,42,43,0,0,34,29,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,lga,Mubi North,North East,Adamawa,Mubi North,,,0,45,33,10,11,0,0,12,23,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,lga,Numan,North East,Adamawa,Numan,,,0,56,36,20,22,0,0,20,16,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,lga,Yola North,North East,Adamawa,Yola North,,,0,291,193,95,99,0,0,98,98,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,lga,Yola South,North East,Adamawa,Yola South,,,0,70,47,33,33,0,0,23,14,0
2019/2020,Female,all,NABTEB,2-year,University,lga,Mubi North,North East,Adamawa,Mubi North,,,0,138,89,52,55,0,0,49,37,0
2019/2020,Female,all,NABTEB,2-year,University,lga,Numan,North East,Adamawa,Numan,,,0,131,91,50,55,0,0,40,41,0
2019/2020,Female,all,NABTEB,2-year,University,lga,Yola North,North East,Adamawa,Yola North,,,0,189,134,85,88,0,0,55,49,0
2019/2020,Female,all,NABTEB,2-year,University,lga,Yola South,North East,Adamawa,Yola South,,,0,108,76,41,43,0,0,32,35,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,lga,Mubi North,North East,Adamawa,Mubi North,,,0,75,46,21,11,11,0,29,25,11
2019/2020,Female,all,NABTEB,3-5-year,College of Education,lga,Numan,North East,Adamawa,Numan,,,0,91,67,30,11,20,0,24,37,20
2019/2020,Female,all,NABTEB,3-5-year,College of Education,lga,Yola North,North East,Adamawa,Yola North,,,0,82,57,0,0,0,0,25,57,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,lga,Yola South,North East,Adamawa,Yola South,,,0,63,43,11,11,0,0,20,32,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,lga,Mubi North,North East,Adamawa,Mubi North,,,0,27,21,10,11,0,0,6,11,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,lga,Numan,North East,Adamawa,Numan,,,0,34,22,10,0,10,0,12,12,10
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,lga,Yola North,North East,Adamawa,Yola North,,,0,181,122,74,33,42,0,59,48,42
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,lga,Yola South,North East,Adamawa,Yola South,,,0,47,32,0,0,0,0,15,32,0
2019/2020,Female,all,NABTEB,3-5-year,University,lga,Mubi North,North East,Adamawa,Mubi North,,,0,89,53,11,11,0,0,36,42,0
2019/2020,Female,all,NABTEB,3-5-year,University,lga,Numan,North East,Adamawa,Numan,,,0,100,72,30,11,20,0,28,42,20
2019/2020,Female,all,NABTEB,3-5-year,University,lga,Yola North,North East,Adamawa,Yola North,,,0,108,74,33,22,11,0,34,45,11
2019/2020,Female,all,NABTEB,3-5-year,University,lga,Yola South,North East,Adamawa,Yola South,,,0,72,50,20,10,10,0,22,30,10
2019/2020,Female,all,NABTEB,5+-year,College of Education,lga,Mubi North,North East,Adamawa,Mubi North,,,0,39,29,0,0,0,0,10,29,0
2019/2020,Female,all,NABTEB,5+-year,College of Education,lga,Numan,North East,Adamawa,Numan,,,0,46,31,0,0,0,0,15,31,0
2019/2020,Female,all,NABTEB,5+-year,College of Education,lga,Yola North,North East,Adamawa,Yola North,,,0,38,27,0,0,0,0,11,27,0
2019/2020,Female,all,NABTEB,5+-year,College of Education,lga,Yola South,North East,Adamawa,Yola South,,,0,41,28,0,0,0,0,13,28,0
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,lga,Mubi North,North East,Adamawa,Mubi North,,,0,16,10,0,0,0,0,6,10,0
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,lga,Numan,North East,Adamawa,Numan,,,0,19,14,0,0,0,0,5,14,0
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,lga,Yola North,North East,Adamawa,Yola North,,,0,107,75,0,0,0,0,32,75,0
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,lga,Yola South,North East,Adamawa,Yola South,,,0,25,18,0,0,0,0,7,18,0
