"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Brass","South South","Bayelsa","Brass","","","0","203","141","45","44","1","0","62","96","1"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Kolokuma/Opokuma","South South","Bayelsa","Kolokuma/Opokuma","","","0","176","126","48","42","8","0","50","78","8"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Nembe","South South","Bayelsa","Nembe","","","0","182","128","48","45","4","0","54","80","4"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Ogbia","South South","Bayelsa","Ogbia","","","0","66","47","18","18","0","0","19","29","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Yenagoa","South South","Bayelsa","Yenagoa","","","0","220","155","51","42","9","0","65","104","9"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Brass","South South","Bayelsa","Brass","","","0","101","72","22","23","0","0","29","50","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Kolokuma/Opokuma","South South","Bayelsa","Kolokuma/Opokuma","","","0","149","105","45","28","17","0","44","60","17"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Nembe","South South","Bayelsa","Nembe","","","0","178","123","48","42","8","0","55","75","8"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Ogbia","South South","Bayelsa","Ogbia","","","0","127","93","36","35","1","0","34","57","1"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Yenagoa","South South","Bayelsa","Yenagoa","","","0","72","51","22","14","8","0","21","29","8"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Brass","South South","Bayelsa","Brass","","","0","62","46","18","18","0","0","16","28","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Kolokuma/Opokuma","South South","Bayelsa","Kolokuma/Opokuma","","","0","23","15","9","9","0","0","8","6","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Ogbia","South South","Bayelsa","Ogbia","","","0","150","108","35","32","4","0","42","73","4"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Yenagoa","South South","Bayelsa","Yenagoa","","","0","66","46","18","18","0","0","20","28","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Brass","South South","Bayelsa","Brass","","","0","127","91","31","29","2","0","36","60","2"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Kolokuma/Opokuma","South South","Bayelsa","Kolokuma/Opokuma","","","0","118","85","34","33","4","0","33","51","4"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Nembe","South South","Bayelsa","Nembe","","","0","108","79","24","28","0","0","29","55","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Ogbia","South South","Bayelsa","Ogbia","","","0","45","31","13","9","4","0","14","18","4"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Yenagoa","South South","Bayelsa","Yenagoa","","","0","141","96","30","32","0","0","45","66","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Brass","South South","Bayelsa","Brass","","","0","61","46","18","13","5","0","15","28","5"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Kolokuma/Opokuma","South South","Bayelsa","Kolokuma/Opokuma","","","0","94","66","25","24","4","0","28","41","4"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Nembe","South South","Bayelsa","Nembe","","","0","109","76","30","32","1","0","33","46","1"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Ogbia","South South","Bayelsa","Ogbia","","","0","79","59","21","21","1","0","20","38","1"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Yenagoa","South South","Bayelsa","Yenagoa","","","0","45","31","14","10","4","0","14","17","4"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Brass","South South","Bayelsa","Brass","","","0","38","28","9","9","0","0","10","19","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Kolokuma/Opokuma","South South","Bayelsa","Kolokuma/Opokuma","","","0","14","10","4","5","0","0","4","6","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Ogbia","South South","Bayelsa","Ogbia","","","0","92","62","21","22","1","0","30","41","1"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Yenagoa","South South","Bayelsa","Yenagoa","","","0","42","31","14","13","1","0","11","17","1"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Brass","South South","Bayelsa","Brass","","","0","78","54","26","17","10","0","24","28","10"
