"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Aninri","South East","Enugu","Aninri","","","0","78","45","17","14","3","0","33","28","3"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Awgu","South East","Enugu","Awgu","","","0","42","24","9","4","5","0","18","15","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Enugu East","South East","Enugu","Enugu East","","","0","126","74","25","27","0","0","52","49","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Enugu South","South East","Enugu","Enugu South","","","0","89","47","18","18","0","0","42","29","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Ezeagu","South East","Enugu","Ezeagu","","","0","53","29","9","9","0","0","24","20","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Igbo-Etiti","South East","Enugu","Igbo-Etiti","","","0","97","52","18","18","0","0","45","34","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Igbo-Eze North","South East","Enugu","Igbo-Eze North","","","0","66","37","12","8","4","0","29","25","4"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Isi-Uzo","South East","Enugu","Isi-Uzo","","","0","39","24","8","9","0","0","15","16","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Nkanu East","South East","Enugu","Nkanu East","","","0","21","13","4","4","0","0","8","9","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Nkanu West","South East","Enugu","Nkanu West","","","0","76","42","13","13","0","0","34","29","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Nsukka","South East","Enugu","Nsukka","","","0","29","16","4","4","0","0","13","12","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Awgu","South East","Enugu","Awgu","","","0","31","18","4","5","0","0","13","14","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Enugu East","South East","Enugu","Enugu East","","","0","105","63","25","22","4","0","42","38","4"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Enugu North","South East","Enugu","Enugu North","","","0","180","105","35","31","4","0","75","70","4"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Enugu South","South East","Enugu","Enugu South","","","0","57","31","13","13","0","0","26","18","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Ezeagu","South East","Enugu","Ezeagu","","","0","55","31","17","13","4","0","24","14","4"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Igbo-Eze North","South East","Enugu","Igbo-Eze North","","","0","108","63","22","17","5","0","45","41","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Igbo-Eze South","South East","Enugu","Igbo-Eze South","","","0","79","45","17","13","4","0","34","28","4"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Isi-Uzo","South East","Enugu","Isi-Uzo","","","0","94","56","12","13","0","0","38","44","0"
