session,disability_scope,exam_body,gap_band,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,all,NABTEB,1-year,0,706128,457384,155596,142908,19116,0,248744,301788,19096
2019/2020,all,NABTEB,2-year,0,448680,291760,110760,107556,7972,0,156920,181008,7968
2019/2020,all,NABTEB,3-5-year,0,287568,186708,73628,62376,13788,0,100860,113308,13788
2019/2020,all,NABTEB,5+-year,0,160584,103652,19900,5936,14200,0,57144,84008,14200
2019/2020,all,NECO,1-year,0,1339688,864876,302988,270692,39756,0,474812,561888,39644
2019/2020,all,NECO,2-year,0,851588,550612,190632,169972,27396,0,300976,359980,27316
2019/2020,all,NECO,3-5-year,0,545856,353352,124812,111312,19136,0,192504,228540,19088
2019/2020,all,NECO,5+-year,0,303312,195644,71728,58620,17120,0,107696,123956,17108
2019/2020,all,WAEC,1-year,0,1714692,1106460,397356,355768,45928,0,608232,709104,45824
2019/2020,all,WAEC,2-year,0,1092716,705616,252644,224848,33448,0,387100,452972,33396
2019/2020,all,WAEC,3-5-year,0,702848,454740,161960,143764,23992,0,248108,292780,23972
2019/2020,all,WAEC,5+-year,0,390384,252072,92272,82992,13708,0,138312,159800,13708
2019/2020,disabled,NABTEB,1-year,0,95756,55556,48764,50556,236,0,40208,25648,236
2019/2020,disabled,NABTEB,2-year,0,52892,54328,0,0,0,0,4428,54328,0
2019/2020,disabled,NABTEB,3-5-year,0,47688,10472,0,0,0,0,38392,10472,0
2019/2020,disabled,NABTEB,5+-year,0,9060,32,0,0,0,0,9032,32,0
2019/2020,disabled,NECO,1-year,0,149776,86440,69124,74032,300,0,63456,27780,300
2019/2020,disabled,NECO,2-year,0,91336,58388,868,956,8,0,33196,57520,8
2019/2020,disabled,NECO,3-5-year,0,62252,44112,0,0,0,0,18380,44112,0
2019/2020,disabled,NECO,5+-year,0,34964,13724,0,0,0,0,21292,13724,0
2019/2020,disabled,WAEC,1-year,0,188200,113180,69204,73480,208,0,75028,47600,208
2019/2020,disabled,WAEC,2-year,0,118228,71600,10648,11232,36,0,46704,60956,36
2019/2020,disabled,WAEC,3-5-year,0,77736,48828,76,0,76,0,29104,48752,76
2019/2020,disabled,WAEC,5+-year,0,45748,25184,0,0,0,0,20700,25184,0
2020/2021,all,NABTEB,1-year,0,757080,495852,163492,146708,21912,0,261228,332360,21900
2020/2021,all,NABTEB,2-year,0,480688,316248,112724,107520,10036,0,164444,203524,10032
2020/2021,all,NABTEB,3-5-year,0,308988,202844,77360,69944,10756,0,106144,125624,10752
2020/2021,all,NABTEB,5+-year,0,172236,112000,23668,7972,16068,0,60460,88524,16068
2020/2021,all,NECO,1-year,0,1423040,927780,320172,283360,42608,0,495260,607608,42524
2020/2021,all,NECO,2-year,0,905864,590484,201852,176868,30944,0,315380,388632,30888
2020/2021,all,NECO,3-5-year,0,581980,378780,129772,116484,19116,0,203200,249008,19080
2020/2021,all,NECO,5+-year,0,323260,210900,74456,63916,14724,0,112404,136452,14712
2020/2021,all,WAEC,1-year,0,1852760,1206376,425832,378668,50596,0,646384,780544,50536
2020/2021,all,WAEC,2-year,0,1181048,769116,271120,240996,35264,0,411932,497996,35228
2020/2021,all,WAEC,3-5-year,0,758260,493832,173084,153372,25092,0,264428,320748,25080
2020/2021,all,WAEC,5+-year,0,422764,275604,98144,88224,14472,0,147168,177460,14448
2020/2021,disabled,NABTEB,1-year,0,104128,59236,56764,59160,308,0,44908,22572,308
2020/2021,disabled,NABTEB,2-year,0,56136,57720,0,0,0,0,4828,57720,0
2020/2021,disabled,NABTEB,3-5-year,0,50596,11960,0,0,0,0,40008,11960,0
2020/2021,disabled,NABTEB,5+-year,0,9900,28,0,0,0,0,9876,28,0
2020/2021,disabled,NECO,1-year,0,159520,93076,73112,78548,144,0,66540,29528,144
2020/2021,disabled,NECO,2-year,0,97708,62904,1260,1372,0,0,35360,61644,0
2020/2021,disabled,NECO,3-5-year,0,65464,47704,0,0,0,0,18588,47704,0
2020/2021,disabled,NECO,5+-year,0,36812,15036,0,0,0,0,22080,15036,0
2020/2021,disabled,WAEC,1-year,0,202724,123060,71668,77068,148,0,79724,54528,148
2020/2021,disabled,WAEC,2-year,0,127772,77876,12764,13724,24,0,50016,65116,24
2020/2021,disabled,WAEC,3-5-year,0,82688,53616,76,16,64,0,29164,53540,64
2020/2021,disabled,WAEC,5+-year,0,47824,27848,0,0,0,0,20044,27848,0
2021/2022,all,NABTEB,1-year,0,815320,537056,174884,159036,21492,0,278264,362172,21448
2021/2022,all,NABTEB,2-year,0,518940,342816,119416,112544,11720,0,176124,223400,11720
2021/2022,all,NABTEB,3-5-year,0,332988,219804,83512,77924,9236,0,113184,136360,9236
2021/2022,all,NABTEB,5+-year,0,184748,121264,30108,10840,19760,0,63700,91384,19760
2021/2022,all,NECO,1-year,0,1517312,993544,343676,307776,42524,0,523768,649868,42432
2021/2022,all,NECO,2-year,0,964328,631004,218292,191448,32916,0,333324,412712,32856
2021/2022,all,NECO,3-5-year,0,618784,405472,139292,126180,18708,0,213312,266180,18664
2021/2022,all,NECO,5+-year,0,344552,225196,81608,69964,15696,0,119384,143604,15676
2021/2022,all,WAEC,1-year,0,2015804,1319724,468820,420716,52284,0,696080,850904,52240
2021/2022,all,WAEC,2-year,0,1281684,838960,297500,265720,37572,0,442724,541460,37504
2021/2022,all,WAEC,3-5-year,0,822088,538320,192168,169944,27784,0,283768,346152,27756
2021/2022,all,WAEC,5+-year,0,456844,299028,107340,97512,14704,0,157816,191688,14680
2021/2022,disabled,NABTEB,1-year,0,111944,63480,65968,68988,224,0,48500,19300,224
2021/2022,disabled,NABTEB,2-year,0,60780,61712,0,0,0,0,5768,61712,0
2021/2022,disabled,NABTEB,3-5-year,0,54408,13484,0,0,0,0,42416,13484,0
2021/2022,disabled,NABTEB,5+-year,0,10180,44,0,0,0,0,10140,44,0
2021/2022,disabled,NECO,1-year,0,169964,100532,79724,84592,152,0,69524,31144,152
2021/2022,disabled,NECO,2-year,0,103140,67572,2092,2176,4,0,36496,65488,4
2021/2022,disabled,NECO,3-5-year,0,69864,50908,0,0,0,0,20284,50908,0
2021/2022,disabled,NECO,5+-year,0,38772,16108,0,0,0,0,23128,16108,0
2021/2022,disabled,WAEC,1-year,0,221620,134868,76412,81612,144,0,86752,61552,144
2021/2022,disabled,WAEC,2-year,0,139728,84904,16808,17904,56,0,54860,68108,56
2021/2022,disabled,WAEC,3-5-year,0,90368,59076,420,84,340,0,31340,58660,340
2021/2022,disabled,WAEC,5+-year,0,52160,31244,0,0,0,0,21000,31244,0
2022/2023,all,NABTEB,1-year,0,796748,515360,167976,149724,22360,0,281388,347384,22328
2022/2023,all,NABTEB,2-year,0,507280,328232,112240,103756,12648,0,179048,215992,12628
2022/2023,all,NABTEB,3-5-year,0,325804,210640,79452,76452,6528,0,115164,131232,6524
2022/2023,all,NABTEB,5+-year,0,180276,115648,30132,11664,18988,0,64840,85684,18988
2022/2023,all,NECO,1-year,0,1490076,957148,332024,295928,41556,0,532928,625124,41480
2022/2023,all,NECO,2-year,0,948596,608756,210868,185596,30632,0,339840,397888,30604
2022/2023,all,NECO,3-5-year,0,611292,392540,136004,121228,19384,0,218752,256536,19376
2022/2023,all,NECO,5+-year,0,337664,217300,79540,67344,14836,0,120380,137764,14824
2022/2023,all,WAEC,1-year,0,1962068,1260100,451292,401356,53080,0,701968,808808,53036
2022/2023,all,WAEC,2-year,0,1246468,800100,286060,253644,36908,0,446368,514040,36848
2022/2023,all,WAEC,3-5-year,0,802448,514596,183128,162508,25584,0,287852,331468,25568
2022/2023,all,WAEC,5+-year,0,445336,285296,102652,92412,14384,0,160040,182644,14372
2022/2023,disabled,NABTEB,1-year,0,108988,60632,66824,69340,716,0,48364,14460,708
2022/2023,disabled,NABTEB,2-year,0,59596,59036,0,0,0,0,5616,59036,0
2022/2023,disabled,NABTEB,3-5-year,0,53508,13716,0,0,0,0,41028,13716,0
2022/2023,disabled,NABTEB,5+-year,0,10460,40,0,0,0,0,10424,40,0
2022/2023,disabled,NECO,1-year,0,167076,95576,76572,79440,384,0,71536,28460,384
2022/2023,disabled,NECO,2-year,0,100972,64392,2396,2448,8,0,36840,62004,8
2022/2023,disabled,NECO,3-5-year,0,68708,49332,0,0,0,0,19596,49332,0
2022/2023,disabled,NECO,5+-year,0,38436,15788,0,0,0,0,22724,15788,0
2022/2023,disabled,WAEC,1-year,0,215348,128224,70708,75004,272,0,87124,60024,272
2022/2023,disabled,WAEC,2-year,0,135528,80884,17560,18644,64,0,54644,63324,64
2022/2023,disabled,WAEC,3-5-year,0,87260,56412,332,32,308,0,30876,56092,308
2022/2023,disabled,WAEC,5+-year,0,50944,29772,0,0,0,0,21200,29772,0
2023/2024,all,NABTEB,1-year,0,830292,560200,184680,166056,23940,0,270092,375520,23924
2023/2024,all,NABTEB,2-year,0,528552,356124,121756,112000,14248,0,172428,234368,14244
2023/2024,all,NABTEB,3-5-year,0,339312,228420,86836,85116,5480,0,110896,141596,5468
2023/2024,all,NABTEB,5+-year,0,188252,126480,34064,13628,21052,0,62184,92596,21052
2023/2024,all,NECO,1-year,0,1535044,1029032,363948,323420,45980,0,506012,665084,45900
2023/2024,all,NECO,2-year,0,975292,654264,230324,202508,33504,0,321028,423940,33468
2023/2024,all,NECO,3-5-year,0,627292,419776,147280,133392,19448,0,207516,272496,19420
2023/2024,all,NECO,5+-year,0,347364,232308,84496,74124,14384,0,115092,147828,14372
2023/2024,all,WAEC,1-year,0,2058424,1379264,499380,448808,54420,0,679160,879884,54380
2023/2024,all,WAEC,2-year,0,1306108,874816,316440,284024,38208,0,431292,558376,38152
2023/2024,all,WAEC,3-5-year,0,842608,565056,204224,181836,28084,0,277552,360832,28052
2023/2024,all,WAEC,5+-year,0,469012,314288,114444,102828,15656,0,154724,199844,15636
2023/2024,disabled,NABTEB,1-year,0,114168,65824,75388,78504,432,0,48412,12816,432
2023/2024,disabled,NABTEB,2-year,0,60484,63860,0,0,0,0,5348,63860,0
2023/2024,disabled,NABTEB,3-5-year,0,53992,14760,0,0,0,0,41372,14760,0
2023/2024,disabled,NABTEB,5+-year,0,10012,24,0,0,0,0,9988,24,0
2023/2024,disabled,NECO,1-year,0,170624,103052,81692,86652,188,0,67764,31144,188
2023/2024,disabled,NECO,2-year,0,104332,68952,2892,3072,8,0,36404,66060,8
2023/2024,disabled,NECO,3-5-year,0,70452,53172,0,0,0,0,18436,53172,0
2023/2024,disabled,NECO,5+-year,0,39468,17476,0,0,0,0,22444,17476,0
2023/2024,disabled,WAEC,1-year,0,225652,141452,77912,81444,16,0,84244,66336,16
2023/2024,disabled,WAEC,2-year,0,142976,89012,20776,21740,0,0,54072,68260,0
2023/2024,disabled,WAEC,3-5-year,0,91880,61120,748,88,664,0,30876,60380,664
2023/2024,disabled,WAEC,5+-year,0,53008,32268,0,0,0,0,20796,32268,0
2024/2025,all,NABTEB,1-year,0,195084,160039,77699,62658,16727,0,35045,82340,15041
2024/2025,all,NABTEB,2-year,0,123981,101479,50787,40850,11258,0,22502,50692,9937
2024/2025,all,NABTEB,3-5 years,0,66640,39900,21256,19688,0,0,26740,18644,1568
2024/2025,all,NABTEB,3-5-year,0,79659,64563,35437,30987,2594,0,15096,29126,4450
2024/2025,all,NABTEB,5+-year,0,44391,35351,14732,5680,8588,0,9040,20619,9052
2024/2025,all,NECO,1-year,0,358334,303650,154466,123414,32871,0,54684,149184,31052
2024/2025,all,NECO,2-year,0,276874,233652,121513,100088,23167,0,43222,112139,21425
2024/2025,all,NECO,3-5-year,0,146997,119632,61602,49351,14134,0,27365,58030,12251
2024/2025,all,NECO,5+-year,0,81402,66226,35732,27346,7535,0,15176,30494,8386
2024/2025,all,WAEC,1-year,0,516441,462283,266157,217194,69061,0,54158,196126,48963
2024/2025,all,WAEC,2-year,0,309052,256488,134221,108147,27837,0,52564,122267,26074
2024/2025,all,WAEC,3-5-year,0,199175,161867,86064,68686,20775,0,37308,75803,17378
2024/2025,all,WAEC,5+ years,0,85481,23758,16337,14182,0,0,61723,7421,2155
2024/2025,all,WAEC,5+-year,0,110330,89744,47668,38282,10390,0,20586,42076,9386
2024/2025,disabled,NABTEB,1-year,0,26767,20339,17433,17399,250,0,6428,2906,34
2024/2025,disabled,NABTEB,2-year,0,14442,13736,0,0,0,0,706,13736,0
2024/2025,disabled,NABTEB,3-5-year,0,12891,3113,0,0,0,0,9778,3113,0
2024/2025,disabled,NABTEB,5+-year,0,2445,9,0,0,0,0,2436,9,0
2024/2025,disabled,NECO,1-year,0,40032,29517,26013,25036,394,0,10515,3504,977
