session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,0,101,72,28,23,5,0,29,44,5
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,43,28,5,6,0,0,15,23,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,43,28,6,6,0,0,15,22,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,0,31,22,11,11,0,0,9,11,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Army Barracks Area,South South,Delta,Uvwie,Army Barracks Area,,0,158,103,34,24,10,0,55,69,10
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,69,47,17,12,5,0,22,30,5
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,0,71,53,16,17,0,0,18,37,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,0,28,19,6,5,1,0,9,13,1
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,23,19,6,5,1,0,4,13,1
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Edjeba,South South,Delta,Warri South,Edjeba,,0,54,41,17,17,0,0,13,24,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,23,16,6,6,0,0,7,10,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,0,46,31,11,11,0,0,15,20,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,48,35,16,12,5,0,13,19,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,43,34,17,11,6,0,9,17,6
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Agu,South South,Delta,Oshimili South,Agu,,0,94,66,22,18,5,0,28,44,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,0,109,74,27,23,5,0,35,47,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,0,130,90,33,21,12,0,40,57,12
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,46,34,11,11,0,0,12,23,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,0,99,68,28,28,0,0,31,40,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,0,128,87,33,28,5,0,41,54,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Eghoro,South South,Delta,Warri North,Eghoro,,0,77,50,17,17,0,0,27,33,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,51,34,17,17,0,0,17,17,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bowen,South South,Delta,Warri South,Bowen,,0,41,28,11,11,0,0,13,17,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,28,19,5,6,0,0,9,14,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,46,31,11,11,0,0,15,20,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,63,40,16,12,5,0,23,24,5
2019/2020,Female,all,NABTEB,1-year,University,ward,Agu,South South,Delta,Oshimili South,Agu,,0,56,37,17,17,0,0,19,20,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,0,46,31,6,6,0,0,15,25,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,28,19,5,6,0,0,9,14,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Eghoro,South South,Delta,Warri North,Eghoro,,0,43,32,16,11,6,0,11,16,6
2019/2020,Female,all,NABTEB,1-year,University,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,86,65,22,17,5,0,21,43,5
2019/2020,Female,all,NABTEB,1-year,University,ward,Bowen,South South,Delta,Warri South,Bowen,,0,117,78,28,23,5,0,39,50,5
2019/2020,Female,all,NABTEB,1-year,University,ward,Edjeba,South South,Delta,Warri South,Edjeba,,0,77,53,17,17,0,0,24,36,0
2019/2020,Female,all,NABTEB,1-year,University,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,87,59,22,22,0,0,28,37,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,0,66,47,16,17,1,0,19,31,1
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,25,19,5,6,0,0,6,14,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,25,16,5,6,0,0,9,11,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,0,20,16,6,5,1,0,4,10,1
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Army Barracks Area,South South,Delta,Uvwie,Army Barracks Area,,0,97,66,24,24,0,0,31,42,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,40,28,11,12,0,0,12,17,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,0,48,34,11,12,0,0,14,23,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,0,15,9,5,6,0,0,6,4,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,15,12,6,5,1,0,3,6,1
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Edjeba,South South,Delta,Warri South,Edjeba,,0,35,21,11,12,0,0,14,10,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,15,13,6,6,0,0,2,7,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,0,31,19,6,5,1,0,12,13,1
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,30,21,10,12,0,0,9,11,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,25,19,6,6,0,0,6,13,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Agu,South South,Delta,Oshimili South,Agu,,0,60,37,16,18,0,0,23,21,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,0,71,50,11,12,0,0,21,39,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,0,81,57,18,15,3,0,24,39,3
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,31,22,5,6,0,0,9,17,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,0,64,47,16,12,5,0,17,31,5
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,0,84,57,15,18,0,0,27,42,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Eghoro,South South,Delta,Warri North,Eghoro,,0,49,34,17,12,5,0,15,17,5
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,31,22,11,5,6,0,9,11,6
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Bowen,South South,Delta,Warri South,Bowen,,0,25,19,6,6,0,0,6,13,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,20,12,5,6,0,0,8,7,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,25,19,5,6,0,0,6,14,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,38,28,10,12,0,0,10,18,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Agu,South South,Delta,Oshimili South,Agu,,0,33,25,11,6,5,0,8,14,5
2019/2020,Female,all,NABTEB,2-year,University,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,0,28,19,6,6,0,0,9,13,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,18,12,5,6,0,0,6,7,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Eghoro,South South,Delta,Warri North,Eghoro,,0,30,21,10,10,0,0,9,11,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,56,41,12,11,1,0,15,29,1
2019/2020,Female,all,NABTEB,2-year,University,ward,Bowen,South South,Delta,Warri South,Bowen,,0,71,51,17,18,0,0,20,34,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Edjeba,South South,Delta,Warri South,Edjeba,,0,48,35,12,12,0,0,13,23,0
2019/2020,Female,all,NABTEB,2-year,University,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,58,38,11,12,0,0,20,27,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,0,48,34,15,17,0,0,14,19,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,18,12,5,0,5,0,6,7,5
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,18,12,5,6,0,0,6,7,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,0,13,9,6,6,0,0,4,3,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Army Barracks Area,South South,Delta,Uvwie,Army Barracks Area,,0,69,46,24,18,6,0,23,22,6
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,28,18,5,6,0,0,10,13,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,0,30,22,11,12,0,0,8,11,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,0,13,6,0,0,0,0,7,6,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,10,6,0,0,0,0,4,6,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,Edjeba,South South,Delta,Warri South,Edjeba,,0,23,15,11,12,0,0,8,4,0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,10,6,6,6,0,0,4,0,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,0,18,12,6,6,0,0,6,6,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,18,12,5,6,0,0,6,7,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,20,16,6,6,0,0,4,10,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Agu,South South,Delta,Oshimili South,Agu,,0,43,28,17,18,0,0,15,11,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,0,43,27,10,12,0,0,16,17,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,0,56,40,18,16,2,0,16,22,2
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,15,13,5,6,0,0,2,8,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,0,41,25,11,12,0,0,16,14,0
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,0,55,37,16,18,0,0,18,21,0
