session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,0,68,40,10,10,0,0,28,30,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Lafiagi II,North Central,Kwara,Edu,Lafiagi II,,0,79,40,14,16,0,0,39,26,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Lafiagi III,North Central,Kwara,Edu,Lafiagi III,,0,84,48,13,15,0,0,36,35,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Eruku,North Central,Kwara,Ekiti,Eruku,,0,131,79,33,27,6,0,52,46,6
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Isapa,North Central,Kwara,Ekiti,Isapa,,0,46,26,5,5,0,0,20,21,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Koro,North Central,Kwara,Ekiti,Koro,,0,27,17,5,5,0,0,10,12,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ajikobi,North Central,Kwara,Ilorin West,Ajikobi,,0,52,31,9,5,4,0,21,22,4
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Balogun,North Central,Kwara,Offa,Balogun,,0,62,34,13,15,0,0,28,21,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Essa-A,North Central,Kwara,Offa,Essa-A,,0,41,26,9,11,0,0,15,17,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Essa-B,North Central,Kwara,Offa,Essa-B,,0,33,20,9,5,4,0,13,11,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Lafiagi II,North Central,Kwara,Edu,Lafiagi II,,0,52,28,9,5,4,0,24,19,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Lafiagi III,North Central,Kwara,Edu,Lafiagi III,,0,22,11,5,5,0,0,11,6,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Eruku,North Central,Kwara,Ekiti,Eruku,,0,33,20,9,11,0,0,13,11,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Isapa,North Central,Kwara,Ekiti,Isapa,,0,117,74,28,27,3,0,43,46,3
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Koro,North Central,Kwara,Ekiti,Koro,,0,52,28,9,5,4,0,24,19,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Agbeyangi/Gbadamu/Osin,North Central,Kwara,Ilorin East,Agbeyangi/Gbadamu/Osin,,0,125,74,32,31,4,0,51,42,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Apado,North Central,Kwara,Ilorin East,Apado,,0,85,51,14,16,0,0,34,37,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Balogun Gambari II,North Central,Kwara,Ilorin East,Balogun Gambari II,,0,65,40,14,16,0,0,25,26,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Adewole,North Central,Kwara,Ilorin West,Adewole,,0,182,105,32,32,4,0,77,73,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ajikobi,North Central,Kwara,Ilorin West,Ajikobi,,0,62,34,10,10,0,0,28,24,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Baboko,North Central,Kwara,Ilorin West,Baboko,,0,82,48,19,15,4,0,34,29,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Balogun,North Central,Kwara,Offa,Balogun,,0,30,17,9,10,0,0,13,8,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Essa-B,North Central,Kwara,Offa,Essa-B,,0,33,20,9,10,0,0,13,11,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,0,68,40,14,15,0,0,28,26,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Lafiagi II,North Central,Kwara,Edu,Lafiagi II,,0,54,34,14,11,3,0,20,20,3
2019/2020,Female,all,NABTEB,1-year,University,ward,Lafiagi III,North Central,Kwara,Edu,Lafiagi III,,0,44,26,9,10,0,0,18,17,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Koro,North Central,Kwara,Ekiti,Koro,,0,68,37,14,10,4,0,31,23,4
2019/2020,Female,all,NABTEB,1-year,University,ward,Agbeyangi/Gbadamu/Osin,North Central,Kwara,Ilorin East,Agbeyangi/Gbadamu/Osin,,0,57,34,14,11,3,0,23,20,3
2019/2020,Female,all,NABTEB,1-year,University,ward,Apado,North Central,Kwara,Ilorin East,Apado,,0,76,45,14,16,0,0,31,31,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Balogun Gambari II,North Central,Kwara,Ilorin East,Balogun Gambari II,,0,84,48,18,22,0,0,36,30,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Ajikobi,North Central,Kwara,Ilorin West,Ajikobi,,0,24,11,5,5,0,0,13,6,0
