"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","0","54","41","19","19","0","0","13","22","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Elega","South West","Ogun","Abeokuta North","Elega","","0","75","53","19","19","0","0","22","34","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ago-Egun/Ijesa","South West","Ogun","Abeokuta South","Ago-Egun/Ijesa","","0","128","91","31","26","6","0","37","60","6"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ake I","South West","Ogun","Abeokuta South","Ake I","","0","75","52","20","14","6","0","23","32","6"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","0","54","38","14","13","1","0","16","24","1"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ijade/Imepe I","South West","Ogun","Ijebu Ode","Ijade/Imepe I","","0","110","75","31","26","6","0","35","44","6"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","0","39","26","6","7","0","0","13","20","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ijasi/Idepo","South West","Ogun","Ijebu Ode","Ijasi/Idepo","","0","54","34","7","7","0","0","20","27","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Akaka","South West","Ogun","Remo North","Akaka","","0","107","83","32","32","0","0","24","51","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ayegbami","South West","Ogun","Remo North","Ayegbami","","0","51","38","13","13","0","0","13","25","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Igan/Ajina","South West","Ogun","Remo North","Igan/Ajina","","0","131","94","32","25","7","0","37","62","7"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Abalabi","South West","Ogun","Sagamu","Abalabi","","0","78","56","19","19","0","0","22","37","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Abigi","South West","Ogun","Sagamu","Abigi","","0","111","76","31","25","6","0","35","45","6"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","0","102","75","26","19","7","0","27","49","7"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Elega","South West","Ogun","Abeokuta North","Elega","","0","113","83","26","20","6","0","30","57","6"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Gbagura","South West","Ogun","Abeokuta North","Gbagura","","0","63","49","19","12","7","0","14","30","7"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ake I","South West","Ogun","Abeokuta South","Ake I","","0","60","38","14","14","0","0","22","24","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","0","45","30","7","7","0","0","15","23","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ijade/Imepe I","South West","Ogun","Ijebu Ode","Ijade/Imepe I","","0","33","26","13","6","7","0","7","13","7"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","0","75","61","20","20","0","0","14","41","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ijasi/Idepo","South West","Ogun","Ijebu Ode","Ijasi/Idepo","","0","33","26","13","7","6","0","7","13","6"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Akaka","South West","Ogun","Remo North","Akaka","","0","42","30","13","13","0","0","12","17","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ayegbami","South West","Ogun","Remo North","Ayegbami","","0","69","52","19","20","0","0","17","33","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Igan/Ajina","South West","Ogun","Remo North","Igan/Ajina","","0","45","34","13","13","0","0","11","21","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ado Odo I","South West","Ogun","Sagamu","Ado Odo I","","0","90","64","19","20","0","0","26","45","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","0","33","23","6","7","0","0","10","17","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Gbagura","South West","Ogun","Abeokuta North","Gbagura","","0","104","75","26","19","7","0","29","49","7"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ago-Egun/Ijesa","South West","Ogun","Abeokuta South","Ago-Egun/Ijesa","","0","39","26","6","6","0","0","13","20","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","0","30","19","6","7","0","0","11","13","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","0","65","49","19","19","0","0","16","30","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ijasi/Idepo","South West","Ogun","Ijebu Ode","Ijasi/Idepo","","0","57","42","13","14","0","0","15","29","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Akaka","South West","Ogun","Remo North","Akaka","","0","54","38","13","7","6","0","16","25","6"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ayegbami","South West","Ogun","Remo North","Ayegbami","","0","48","34","13","6","7","0","14","21","7"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Abalabi","South West","Ogun","Sagamu","Abalabi","","0","72","53","20","12","8","0","19","33","8"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Abigi","South West","Ogun","Sagamu","Abigi","","0","27","15","6","6","0","0","12","9","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ado Odo I","South West","Ogun","Sagamu","Ado Odo I","","0","63","42","19","14","6","0","21","23","6"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","0","30","23","13","7","6","0","7","10","6"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Elega","South West","Ogun","Abeokuta North","Elega","","0","45","34","12","13","0","0","11","22","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ago-Egun/Ijesa","South West","Ogun","Abeokuta South","Ago-Egun/Ijesa","","0","84","60","25","26","0","0","24","35","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ake I","South West","Ogun","Abeokuta South","Ake I","","0","48","34","14","14","0","0","14","20","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","0","36","22","14","13","1","0","14","8","1"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ijade/Imepe I","South West","Ogun","Ijebu Ode","Ijade/Imepe I","","0","69","48","25","19","7","0","21","23","7"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","0","21","15","6","7","0","0","6","9","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ijasi/Idepo","South West","Ogun","Ijebu Ode","Ijasi/Idepo","","0","30","19","7","7","0","0","11","12","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Akaka","South West","Ogun","Remo North","Akaka","","0","72","53","26","12","14","0","19","27","14"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ayegbami","South West","Ogun","Remo North","Ayegbami","","0","39","30","13","6","7","0","9","17","7"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Igan/Ajina","South West","Ogun","Remo North","Igan/Ajina","","0","87","60","19","18","1","0","27","41","1"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Abalabi","South West","Ogun","Sagamu","Abalabi","","0","45","34","12","13","0","0","11","22","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Abigi","South West","Ogun","Sagamu","Abigi","","0","72","49","25","18","7","0","23","24","7"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","0","66","45","19","14","6","0","21","26","6"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Elega","South West","Ogun","Abeokuta North","Elega","","0","78","56","12","13","0","0","22","44","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Gbagura","South West","Ogun","Abeokuta North","Gbagura","","0","42","34","12","12","0","0","8","22","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ake I","South West","Ogun","Abeokuta South","Ake I","","0","39","30","14","14","0","0","9","16","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","0","24","19","7","7","0","0","5","12","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ijade/Imepe I","South West","Ogun","Ijebu Ode","Ijade/Imepe I","","0","21","15","6","6","0","0","6","9","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","0","51","38","13","14","0","0","13","25","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ijasi/Idepo","South West","Ogun","Ijebu Ode","Ijasi/Idepo","","0","21","15","7","7","0","0","6","8","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Akaka","South West","Ogun","Remo North","Akaka","","0","30","19","13","7","6","0","11","6","6"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ayegbami","South West","Ogun","Remo North","Ayegbami","","0","48","34","19","13","7","0","14","15","7"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Igan/Ajina","South West","Ogun","Remo North","Igan/Ajina","","0","27","19","6","6","0","0","8","13","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ado Odo I","South West","Ogun","Sagamu","Ado Odo I","","0","54","37","12","14","0","0","17","25","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","0","21","15","7","7","0","0","6","8","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Gbagura","South West","Ogun","Abeokuta North","Gbagura","","0","72","49","19","12","7","0","23","30","7"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Ago-Egun/Ijesa","South West","Ogun","Abeokuta South","Ago-Egun/Ijesa","","0","24","15","6","6","0","0","9","9","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","0","21","15","6","7","0","0","6","9","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","0","39","30","13","13","0","0","9","17","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Ijasi/Idepo","South West","Ogun","Ijebu Ode","Ijasi/Idepo","","0","39","26","13","14","0","0","13","13","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Akaka","South West","Ogun","Remo North","Akaka","","0","36","26","7","7","0","0","10","19","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Ayegbami","South West","Ogun","Remo North","Ayegbami","","0","27","19","6","6","0","0","8","13","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Abalabi","South West","Ogun","Sagamu","Abalabi","","0","45","34","12","12","0","0","11","22","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Abigi","South West","Ogun","Sagamu","Abigi","","0","15","11","6","6","0","0","4","5","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Ado Odo I","South West","Ogun","Sagamu","Ado Odo I","","0","36","26","12","14","0","0","10","14","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","ward","Ago Oko","South West","Ogun","Abeokuta North","Ago Oko","","0","24","19","6","7","0","0","5","13","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","ward","Elega","South West","Ogun","Abeokuta North","Elega","","0","30","18","12","12","0","0","12","6","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","ward","Ago-Egun/Ijesa","South West","Ogun","Abeokuta South","Ago-Egun/Ijesa","","0","51","37","6","6","0","0","14","31","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","ward","Ake I","South West","Ogun","Abeokuta South","Ake I","","0","36","26","14","14","0","0","10","12","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","ward","Ake II","South West","Ogun","Abeokuta South","Ake II","","0","24","18","14","13","1","0","6","4","1"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","ward","Ijade/Imepe I","South West","Ogun","Ijebu Ode","Ijade/Imepe I","","0","45","30","12","12","0","0","15","18","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","ward","Ijade/Imepe II","South West","Ogun","Ijebu Ode","Ijade/Imepe II","","0","15","11","6","6","0","0","4","5","0"
