session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Badau/Darhela,North West,Sokoto,Bodinga,Badau/Darhela,,0,61,41,17,18,0,0,20,24,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bangi/Dabaga,North West,Sokoto,Bodinga,Bangi/Dabaga,,0,83,55,26,18,8,0,28,29,8
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Magajin Gari 'A',North West,Sokoto,Sokoto North,Magajin Gari 'A',,0,30,17,8,9,0,0,13,9,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Magajin Rafi 'A',North West,Sokoto,Sokoto North,Magajin Rafi 'A',,0,86,61,16,18,0,0,25,45,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Magajin gari B,North West,Sokoto,Sokoto North,Magajin gari B,,0,50,34,17,19,0,0,16,17,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gagi 'B',North West,Sokoto,Sokoto South,Gagi 'B',,0,28,17,8,9,0,0,11,9,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gagi 'C',North West,Sokoto,Sokoto South,Gagi 'C',,0,44,27,8,9,0,0,17,19,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bagida/Lukkingo,North West,Sokoto,Tambuwal,Bagida/Lukkingo,,0,28,17,8,9,0,0,11,9,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bakaya/Sabon Birni,North West,Sokoto,Tambuwal,Bakaya/Sabon Birni,,0,55,37,9,9,0,0,18,28,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Barkeji/Nabaguda,North West,Sokoto,Tambuwal,Barkeji/Nabaguda,,0,100,67,35,37,0,0,33,32,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Arkilla,North West,Sokoto,Wamako,Arkilla,,0,77,50,17,18,0,0,27,33,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bado/Kasarawa,North West,Sokoto,Wamako,Bado/Kasarawa,,0,83,57,18,18,0,0,26,39,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Dundaye/Gumburawa,North West,Sokoto,Wamako,Dundaye/Gumburawa,,0,94,64,26,27,0,0,30,38,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Badau/Darhela,North West,Sokoto,Bodinga,Badau/Darhela,,0,44,30,9,9,0,0,14,21,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bagarawa,North West,Sokoto,Bodinga,Bagarawa,,0,36,24,9,9,0,0,12,15,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Magajin Gari 'A',North West,Sokoto,Sokoto North,Magajin Gari 'A',,0,44,30,17,9,8,0,14,13,8
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Magajin gari B,North West,Sokoto,Sokoto North,Magajin gari B,,0,141,92,35,37,0,0,49,57,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gagi 'A',North West,Sokoto,Sokoto South,Gagi 'A',,0,42,27,8,9,0,0,15,19,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gagi 'C',North West,Sokoto,Sokoto South,Gagi 'C',,0,53,34,8,9,0,0,19,26,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bagida/Lukkingo,North West,Sokoto,Tambuwal,Bagida/Lukkingo,,0,86,57,34,28,8,0,29,23,8
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Arkilla,North West,Sokoto,Wamako,Arkilla,,0,36,27,8,9,0,0,9,19,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bado/Kasarawa,North West,Sokoto,Wamako,Bado/Kasarawa,,0,47,30,9,9,0,0,17,21,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Dundaye/Gumburawa,North West,Sokoto,Wamako,Dundaye/Gumburawa,,0,50,30,9,9,0,0,20,21,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Badau/Darhela,North West,Sokoto,Bodinga,Badau/Darhela,,0,39,24,9,9,0,0,15,15,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Bagarawa,North West,Sokoto,Bodinga,Bagarawa,,0,144,95,43,47,0,0,49,52,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Bangi/Dabaga,North West,Sokoto,Bodinga,Bangi/Dabaga,,0,99,64,17,18,0,0,35,47,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Magajin Gari 'A',North West,Sokoto,Sokoto North,Magajin Gari 'A',,0,47,31,16,18,0,0,16,15,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Magajin Rafi 'A',North West,Sokoto,Sokoto North,Magajin Rafi 'A',,0,89,58,16,18,0,0,31,42,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Gagi 'A',North West,Sokoto,Sokoto South,Gagi 'A',,0,122,74,33,37,0,0,48,41,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Gagi 'B',North West,Sokoto,Sokoto South,Gagi 'B',,0,116,78,33,37,0,0,38,45,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Gagi 'C',North West,Sokoto,Sokoto South,Gagi 'C',,0,72,47,16,18,0,0,25,31,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Bagida/Lukkingo,North West,Sokoto,Tambuwal,Bagida/Lukkingo,,0,28,20,8,9,0,0,8,12,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Bakaya/Sabon Birni,North West,Sokoto,Tambuwal,Bakaya/Sabon Birni,,0,136,84,34,27,8,0,52,50,8
2019/2020,Female,all,NABTEB,1-year,University,ward,Barkeji/Nabaguda,North West,Sokoto,Tambuwal,Barkeji/Nabaguda,,0,28,17,9,9,0,0,11,8,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Arkilla,North West,Sokoto,Wamako,Arkilla,,0,42,27,17,19,0,0,15,10,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Bado/Kasarawa,North West,Sokoto,Wamako,Bado/Kasarawa,,0,53,34,9,9,0,0,19,25,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Dundaye/Gumburawa,North West,Sokoto,Wamako,Dundaye/Gumburawa,,0,61,44,17,18,0,0,17,27,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Badau/Darhela,North West,Sokoto,Bodinga,Badau/Darhela,,0,45,27,17,18,0,0,18,10,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Bangi/Dabaga,North West,Sokoto,Bodinga,Bangi/Dabaga,,0,53,34,18,18,0,0,19,16,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Magajin Gari 'A',North West,Sokoto,Sokoto North,Magajin Gari 'A',,0,17,10,8,9,0,0,7,2,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Magajin Rafi 'A',North West,Sokoto,Sokoto North,Magajin Rafi 'A',,0,53,37,16,18,0,0,16,21,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Magajin gari B,North West,Sokoto,Sokoto North,Magajin gari B,,0,30,20,17,9,8,0,10,3,8
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Gagi 'B',North West,Sokoto,Sokoto South,Gagi 'B',,0,17,10,8,9,0,0,7,2,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Gagi 'C',North West,Sokoto,Sokoto South,Gagi 'C',,0,28,17,8,9,0,0,11,9,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Bagida/Lukkingo,North West,Sokoto,Tambuwal,Bagida/Lukkingo,,0,19,14,8,9,0,0,5,6,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Bakaya/Sabon Birni,North West,Sokoto,Tambuwal,Bakaya/Sabon Birni,,0,33,24,9,9,0,0,9,15,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Barkeji/Nabaguda,North West,Sokoto,Tambuwal,Barkeji/Nabaguda,,0,58,41,18,18,0,0,17,23,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Arkilla,North West,Sokoto,Wamako,Arkilla,,0,45,27,17,18,0,0,18,10,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Bado/Kasarawa,North West,Sokoto,Wamako,Bado/Kasarawa,,0,52,34,18,18,0,0,18,16,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Dundaye/Gumburawa,North West,Sokoto,Wamako,Dundaye/Gumburawa,,0,56,41,17,18,0,0,15,24,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Badau/Darhela,North West,Sokoto,Bodinga,Badau/Darhela,,0,28,20,9,9,0,0,8,11,0
